chr	start	end	element_ID	pvalue
chr17	40556704	40575115	gc19_pc.cds::gencode::PTRF::ENSG00000177469.12	0.133333333333333
chr17	19641533	19648442	gc19_pc.cds::gencode::ALDH3A1::ENSG00000108602.13	0.153846153846154
chr9	102589052	102626149	gc19_pc.cds::gencode::NR4A3::ENSG00000119508.13	0.2
chr16	69165226	69202840	gc19_pc.cds::gencode::CIRH1A::ENSG00000141076.13	0.25
chr4	6826180	6882693	gc19_pc.cds::gencode::KIAA0232::ENSG00000170871.7	0.25
chr5	140220906	140389522	gc19_pc.cds::gencode::PCDHA8::ENSG00000204962.4	0.25
chr11	65408392	65418186	gc19_pc.cds::gencode::SIPA1::ENSG00000213445.4	0.266666666666667
chr1	241815786	241964517	gc19_pc.cds::gencode::WDR64::ENSG00000162843.13	0.285714285714286
chr5	56111400	56189507	gc19_pc.cds::gencode::MAP3K1::ENSG00000095015.5	0.307692307692308
chr5	140739702	140890740	gc19_pc.cds::gencode::PCDHGB2::ENSG00000253910.1	0.307692307692308
chr11	57093880	57102595	gc19_pc.cds::gencode::SSRP1::ENSG00000149136.3	0.307692307692308
chr7	1510212	1545489	gc19_pc.cds::gencode::INTS1::ENSG00000164880.11	0.333333333333333
chr8	110980316	110986617	gc19_pc.cds::gencode::KCNV1::ENSG00000164794.4	0.333333333333333
chr3	38888184	38991853	gc19_pc.cds::gencode::SCN11A::ENSG00000168356.7	0.333333333333333
chr2	182756793	182794383	gc19_pc.cds::gencode::SSFA2::ENSG00000138434.12	0.333333333333333
chr7	128597308	128694824	gc19_pc.cds::gencode::TNPO3::ENSG00000064419.9	0.333333333333333
chr4	71570653	71672376	gc19_pc.cds::gencode::RUFY3::ENSG00000018189.8	0.375
chr4	57776804	57798318	gc19_pc.cds::gencode::REST::ENSG00000084093.11	0.4
chr16	30773866	30785435	gc19_pc.cds::gencode::RNF40::ENSG00000103549.17	0.4
chr19	4542925	4558469	gc19_pc.cds::gencode::SEMA6B::ENSG00000167680.11	0.4
chr11	118842641	118851946	gc19_pc.cds::gencode::FOXR1::ENSG00000176302.8	0.466666666666667
chr6	42141351	42147141	gc19_pc.cds::gencode::GUCA1A::ENSG00000048545.9	0.466666666666667
chr12	6058180	6232362	gc19_pc.cds::gencode::VWF::ENSG00000110799.9	0.466666666666667
chr17	45198300	45266538	gc19_pc.cds::gencode::CDC27::ENSG00000004897.7	0.491228070175439
chr7	91742978	91771800	gc19_pc.cds::gencode::CYP51A1::ENSG00000001630.11	0.5
chr9	103340425	103348733	gc19_pc.cds::gencode::MURC::ENSG00000170681.6	0.5
chr14	78744985	80328307	gc19_pc.cds::gencode::NRXN3::ENSG00000021645.13	0.5
chr3	178916613	178952152	gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	0.5
chr4	147560292	147561960	gc19_pc.cds::gencode::POU4F2::ENSG00000151615.3	0.5
chr9	8317873	8733843	gc19_pc.cds::gencode::PTPRD::ENSG00000153707.11	0.5
chr1	228194829	228248005	gc19_pc.cds::gencode::WNT3A::ENSG00000154342.4	0.5
chr4	69179816	69215471	gc19_pc.cds::gencode::YTHDC1::ENSG00000083896.8	0.5
chr17	53063580	53237272	gc19_pc.cds::gencode::STXBP4::ENSG00000166263.9	0.555555555555556
chr19	55741895	55758471	gc19_pc.cds::gencode::PPP6R1::ENSG00000105063.14	0.583333333333333
chr11	65154507	65178831	gc19_pc.cds::gencode::FRMD8::ENSG00000126391.9	0.6
chr3	51863491	51864817	gc19_pc.cds::gencode::IQCF3::ENSG00000229972.3	0.6
chr2	120438429	120443290	gc19_pc.cds::gencode::TMEM177::ENSG00000144120.8	0.6
chr12	111290758	111345280	gc19_pc.cds::gencode::CCDC63::ENSG00000173093.8	0.642857142857143
chr1	228399484	228566496	gc19_pc.cds::gencode::OBSCN::ENSG00000154358.15	0.666666666666667
chr1	156182806	156212874	gc19_pc.cds::gencode::PMF1::ENSG00000160783.15	0.666666666666667
chr3	44283545	44373503	gc19_pc.cds::gencode::TOPAZ1::ENSG00000173769.4	0.666666666666667
chr19	10624490	10627764	gc19_pc.cds::gencode::S1PR5::ENSG00000180739.12	0.733333333333333
chr4	39184177	39280270	gc19_pc.cds::gencode::WDR19::ENSG00000157796.13	0.733333333333333
chr8	68864629	69143613	gc19_pc.cds::gencode::PREX2::ENSG00000046889.14	0.75
chr12	2958396	2966213	gc19_pc.cds::gencode::AC005841.1::ENSG00000206044.3	0.769230769230769
chr20	50400803	50418947	gc19_pc.cds::gencode::SALL4::ENSG00000101115.8	0.833333333333333
chr11	617350	624902	gc19_pc.cds::gencode::CDHR5::ENSG00000099834.14	0.866666666666667
chr14	73706486	73739372	gc19_pc.cds::gencode::PAPLN::ENSG00000100767.11	0.866666666666667
chr13	50204583	50205174	gc19_pc.cds::gencode::ARL11::ENSG00000152213.3	1
chr21	40558951	40685417	gc19_pc.cds::gencode::BRWD1::ENSG00000185658.9	1
chr10	105791992	105840431	gc19_pc.cds::gencode::COL17A1::ENSG00000065618.12	1
chr7	21582863	21940872	gc19_pc.cds::gencode::DNAH11::ENSG00000105877.13	1
chr1	167064086	167097845	gc19_pc.cds::gencode::DUSP27::ENSG00000198842.5	1
