chr	start	end	element_ID	pvalue
chr1	11167541	11319466	gc19_pc.cds::gencode::MTOR::ENSG00000198793.8	0.00158478605388273
chr17	7565256	7579912	gc19_pc.cds::gencode::TP53::ENSG00000141510.11	0.004509954900451
chr8	103266529	103424462	gc19_pc.cds::gencode::UBR5::ENSG00000104517.8	0.00478468899521531
chr18	6942077	7117719	gc19_pc.cds::gencode::LAMA1::ENSG00000101680.9	0.00904977375565611
chr3	47058582	47205414	gc19_pc.cds::gencode::SETD2::ENSG00000181555.15	0.0144230769230769
chr17	7533490	7536670	gc19_pc.cds::gencode::SHBG::ENSG00000129214.10	0.0144230769230769
chr17	48133803	48167682	gc19_pc.cds::gencode::ITGA3::ENSG00000005884.13	0.0263157894736842
chr20	5095928	5100444	gc19_pc.cds::gencode::PCNA::ENSG00000132646.6	0.0303030303030303
chr3	53902745	53916128	gc19_pc.cds::gencode::ACTR8::ENSG00000113812.9	0.0307692307692308
chr6	56323802	56819385	gc19_pc.cds::gencode::DST::ENSG00000151914.13	0.0392387218045113
chr19	6380291	6393006	gc19_pc.cds::gencode::GTF2F1::ENSG00000125651.9	0.045
chr7	128864917	129066886	gc19_pc.cds::gencode::AHCYL2::ENSG00000158467.12	0.046875
chr12	6679841	6715539	gc19_pc.cds::gencode::CHD4::ENSG00000111642.10	0.046875
chr12	1740520	1755418	gc19_pc.cds::gencode::WNT5B::ENSG00000111186.8	0.0493273542600897
chr2	206988908	207023857	gc19_pc.cds::gencode::NDUFS1::ENSG00000023228.9	0.05
chr18	25532116	25756986	gc19_pc.cds::gencode::CDH2::ENSG00000170558.4	0.0511363636363636
chr16	46918627	46962909	gc19_pc.cds::gencode::GPT2::ENSG00000166123.9	0.0526315789473684
chr4	87869685	88056853	gc19_pc.cds::gencode::AFF1::ENSG00000172493.16	0.0535714285714286
chr20	16712347	16721650	gc19_pc.cds::gencode::SNRPB2::ENSG00000125870.6	0.0535714285714286
chr17	56634371	56729362	gc19_pc.cds::gencode::TEX14::ENSG00000121101.11	0.0537634408602151
chr14	64551634	64749703	gc19_pc.cds::gencode::ESR2::ENSG00000140009.14	0.0538116591928251
chr5	13692092	13944547	gc19_pc.cds::gencode::DNAH5::ENSG00000039139.9	0.0555555555555556
chr15	69072419	69113090	gc19_pc.cds::gencode::ANP32A::ENSG00000140350.11	0.0561797752808989
chr11	63974836	63990964	gc19_pc.cds::gencode::FERMT3::ENSG00000149781.8	0.0566037735849057
chr20	8113298	8862496	gc19_pc.cds::gencode::PLCB1::ENSG00000182621.12	0.0568181818181818
chr5	54320150	54329754	gc19_pc.cds::gencode::GZMK::ENSG00000113088.5	0.0574712643678161
chr5	86564268	86686700	gc19_pc.cds::gencode::RASA1::ENSG00000145715.10	0.0574712643678161
chr1	155917732	155955186	gc19_pc.cds::gencode::ARHGEF2::ENSG00000116584.13	0.0576923076923077
chr22	36678713	36745281	gc19_pc.cds::gencode::MYH9::ENSG00000100345.16	0.0576923076923077
chr1	1266725	1269844	gc19_pc.cds::gencode::TAS1R3::ENSG00000169962.4	0.0576923076923077
chr19	11453490	11456295	gc19_pc.cds::gencode::TMEM205::ENSG00000105518.9	0.0576923076923077
chr7	36429635	36492209	gc19_pc.cds::gencode::ANLN::ENSG00000011426.6	0.0588235294117647
chr20	46287105	46386107	gc19_pc.cds::gencode::SULF2::ENSG00000196562.10	0.0591715976331361
chr5	126667000	126793010	gc19_pc.cds::gencode::MEGF10::ENSG00000145794.12	0.0625
chr10	33190497	33224486	gc19_pc.cds::gencode::ITGB1::ENSG00000150093.14	0.0632183908045977
chr5	61602299	61681396	gc19_pc.cds::gencode::KIF2A::ENSG00000068796.12	0.0645161290322581
chr15	79254485	79382840	gc19_pc.cds::gencode::RASGRF1::ENSG00000058335.11	0.0645161290322581
chr14	94517536	94546088	gc19_pc.cds::gencode::DDX24::ENSG00000089737.11	0.0666666666666667
chr1	115251155	115258781	gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	0.0666666666666667
chr13	48878048	49054207	gc19_pc.cds::gencode::RB1::ENSG00000139687.9	0.0697674418604651
chr4	113825649	114302796	gc19_pc.cds::gencode::ANK2::ENSG00000145362.12	0.072
chr8	141669564	141931012	gc19_pc.cds::gencode::PTK2::ENSG00000169398.15	0.0789473684210526
chr4	155525491	155533761	gc19_pc.cds::gencode::FGG::ENSG00000171557.12	0.0857142857142857
chr11	102195240	102207833	gc19_pc.cds::gencode::BIRC3::ENSG00000023445.9	0.0909090909090909
chr11	65809977	65812886	gc19_pc.cds::gencode::GAL3ST3::ENSG00000175229.6	0.0951302378255946
chr6	44216366	44221335	gc19_pc.cds::gencode::HSP90AB1::ENSG00000096384.15	0.0952380952380952
chr1	113010159	113063131	gc19_pc.cds::gencode::WNT2B::ENSG00000134245.13	0.11810261374637
chr5	64814301	64857338	gc19_pc.cds::gencode::CENPK::ENSG00000123219.8	0.120075046904315
chr2	212248339	213403254	gc19_pc.cds::gencode::ERBB4::ENSG00000178568.9	0.125
chr13	41133659	41240349	gc19_pc.cds::gencode::FOXO1::ENSG00000150907.6	0.125
chr4	108969827	109088923	gc19_pc.cds::gencode::LEF1::ENSG00000138795.5	0.125
chr1	8921418	8934967	gc19_pc.cds::gencode::ENO1::ENSG00000074800.9	0.130434782608696
chr7	27203221	27205076	gc19_pc.cds::gencode::HOXA9::ENSG00000078399.11	0.130434782608696
chr14	31091544	31204815	gc19_pc.cds::gencode::SCFD1::ENSG00000092108.16	0.131578947368421
chr4	86491694	86921875	gc19_pc.cds::gencode::ARHGAP24::ENSG00000138639.13	0.133333333333333
chr12	82617459	82752155	gc19_pc.cds::gencode::CCDC59::ENSG00000133773.7	0.142857142857143
chr7	86274088	86493712	gc19_pc.cds::gencode::GRM3::ENSG00000198822.6	0.142857142857143
chr2	169985172	170218909	gc19_pc.cds::gencode::LRP2::ENSG00000081479.8	0.142857142857143
chr16	2098270	2138611	gc19_pc.cds::gencode::TSC2::ENSG00000103197.12	0.143073429220288
chr1	22149808	22263710	gc19_pc.cds::gencode::HSPG2::ENSG00000142798.12	0.145701357466063
chr14	53173895	53194335	gc19_pc.cds::gencode::PSMC6::ENSG00000100519.7	0.147058823529412
