element_ID	chr	start	end	p_value
mirna.prom::chr1:10017351-10017751_1::NA::NA	chr1	10017351	10017751	0.401422292733038
mirna.prom::chr1:100715132-100715176_1::NA::NA	chr1	100715132	100715176	1
mirna.prom::chr1:10285841-10286241_1::NA::NA	chr1	10285841	10286241	0.132547477208604
mirna.prom::chr1:10291-10691_1::NA::NA	chr1	10291	10691	2.92054577979677e-14
mirna.prom::chr1:1093039-1093439_1::NA::NA	chr1	1093039	1093439	0.738939039759615
mirna.prom::chr1:1098131-1098531_1::NA::NA	chr1	1098131	1098531	0.646739128540244
mirna.prom::chr1:110131004-110132039_2::NA::NA	chr1	110131004	110132039	0.190684638288788
mirna.prom::chr1:113044974-113047109_2::NA::NA	chr1	113044974	113047109	0.822380423859327
mirna.prom::chr1:117113428-117113448_1::NA::NA	chr1	117113428	117113448	1
mirna.prom::chr1:12251408-12251769_1::NA::NA	chr1	12251408	12251769	0.50160465438238
mirna.prom::chr1:1233366-1233743_2::NA::NA	chr1	1233366	1233743	0.51189924028048
mirna.prom::chr1:1249017-1249105_1::NA::NA	chr1	1249017	1249105	1
mirna.prom::chr1:12655882-12655992_1::NA::NA	chr1	12655882	12655992	0.429237239165098
mirna.prom::chr1:1277556-1277736_1::NA::NA	chr1	1277556	1277736	1
mirna.prom::chr1:143146109-143146509_1::NA::NA	chr1	143146109	143146509	0.739488721896957
mirna.prom::chr1:143467632-143467808_1::NA::NA	chr1	143467632	143467808	8.50852845689656e-05
mirna.prom::chr1:147806889-147806988_1::NA::NA	chr1	147806889	147806988	1
mirna.prom::chr1:147826862-147827135_1::NA::NA	chr1	147826862	147827135	0.000230497142709426
mirna.prom::chr1:150460095-150460116_1::NA::NA	chr1	150460095	150460116	1
mirna.prom::chr1:150521682-150521683_1::NA::NA	chr1	150521682	150521683	1
mirna.prom::chr1:151512984-151512991_1::NA::NA	chr1	151512984	151512991	1
mirna.prom::chr1:153699791-153700191_1::NA::NA	chr1	153699791	153700191	0.104603779412303
mirna.prom::chr1:154111876-154114045_3::NA::NA	chr1	154111876	154114045	0.320588413080187
mirna.prom::chr1:155164601-155164967_1::NA::NA	chr1	155164601	155164967	0.929522819641268
mirna.prom::chr1:155327094-155340914_4::NA::NA	chr1	155327094	155340914	0.214918199559943
mirna.prom::chr1:155960064-155960065_1::NA::NA	chr1	155960064	155960065	1
mirna.prom::chr1:156391601-156399416_2::NA::NA	chr1	156391601	156399416	0.394683548782673
mirna.prom::chr1:156931604-156949656_4::NA::NA	chr1	156931604	156949656	0.702888223842232
mirna.prom::chr1:156933406-156949656_3::NA::NA	chr1	156933406	156949656	0.746119247746015
mirna.prom::chr1:159869726-159869753_1::NA::NA	chr1	159869726	159869753	1
mirna.prom::chr1:167958220-167958620_1::NA::NA	chr1	167958220	167958620	0.283051049701018
mirna.prom::chr1:168338101-168338291_1::NA::NA	chr1	168338101	168338291	0.114139092753589
mirna.prom::chr1:172113784-172114117_2::NA::NA	chr1	172113784	172114117	0.908347978241229
mirna.prom::chr1:17216144-17222905_3::NA::NA	chr1	17216144	17222905	7.70772735329075e-07
mirna.prom::chr1:17567656-17568056_1::NA::NA	chr1	17567656	17568056	0.858327165908575
mirna.prom::chr1:177001461-177001585_1::NA::NA	chr1	177001461	177001585	0.0781875418627197
mirna.prom::chr1:19213581-19239873_2::NA::NA	chr1	19213581	19239873	0.95509095170826
mirna.prom::chr1:192680936-192685312_2::NA::NA	chr1	192680936	192685312	0.0802202923349822
mirna.prom::chr1:193074220-193090946_2::NA::NA	chr1	193074220	193090946	0.695009977779976
mirna.prom::chr1:198872777-198873177_1::NA::NA	chr1	198872777	198873177	0.291389728654708
mirna.prom::chr1:201752003-201777525_3::NA::NA	chr1	201752003	201777525	0.485972595845497
mirna.prom::chr1:201924818-201924846_1::NA::NA	chr1	201924818	201924846	1
mirna.prom::chr1:205419259-205424928_2::NA::NA	chr1	205419259	205424928	0.00574410829928288
mirna.prom::chr1:206647820-206648145_1::NA::NA	chr1	206647820	206648145	0.707173659982619
mirna.prom::chr1:207995084-207997448_2::NA::NA	chr1	207995084	207997448	0.74997892263155
mirna.prom::chr1:209800944-209801311_1::NA::NA	chr1	209800944	209801311	0.787947564664953
mirna.prom::chr1:212206910-212209322_2::NA::NA	chr1	212206910	212209322	0.833356003746826
mirna.prom::chr1:21323820-21343740_4::NA::NA	chr1	21323820	21343740	0.814172178436743
mirna.prom::chr1:224460589-224460989_1::NA::NA	chr1	224460589	224460989	0.845979332912167
mirna.prom::chr1:224616474-224622613_3::NA::NA	chr1	224616474	224622613	0.675824728568611
mirna.prom::chr1:226111700-226111737_1::NA::NA	chr1	226111700	226111737	1
mirna.prom::chr1:228256270-228284758_5::NA::NA	chr1	228256270	228284758	0.670388922779555
mirna.prom::chr1:228646259-228646588_1::NA::NA	chr1	228646259	228646588	0.447561776112756
mirna.prom::chr1:22999728-23000128_1::NA::NA	chr1	22999728	23000128	0.866182541849738
mirna.prom::chr1:23191711-23191893_1::NA::NA	chr1	23191711	23191893	0.760012488553735
mirna.prom::chr1:233750278-233750344_1::NA::NA	chr1	233750278	233750344	1
mirna.prom::chr1:235363070-235363470_1::NA::NA	chr1	235363070	235363470	0.356332993841837
mirna.prom::chr1:236030420-236030428_1::NA::NA	chr1	236030420	236030428	0.0160208115890015
mirna.prom::chr1:237628510-237628910_1::NA::NA	chr1	237628510	237628910	0.890220388750393
mirna.prom::chr1:241270942-241271342_1::NA::NA	chr1	241270942	241271342	0.00825753315984942
mirna.prom::chr1:243507361-243508836_3::NA::NA	chr1	243507361	243508836	0.988846487938604
mirna.prom::chr1:247373940-247374340_2::NA::NA	chr1	247373940	247374340	1
mirna.prom::chr1:25255397-25256715_2::NA::NA	chr1	25255397	25256715	1
mirna.prom::chr1:26872542-26872556_1::NA::NA	chr1	26872542	26872556	1
mirna.prom::chr1:3028338-3039290_3::NA::NA	chr1	3028338	3039290	0.964933553792156
mirna.prom::chr1:31230429-31230467_1::NA::NA	chr1	31230429	31230467	0.12706803808067
mirna.prom::chr1:32230141-32230143_1::NA::NA	chr1	32230141	32230143	1
mirna.prom::chr1:32547210-32547898_2::NA::NA	chr1	32547210	32547898	0.783629666375799
mirna.prom::chr1:33815686-33815706_1::NA::NA	chr1	33815686	33815706	1
