cutoff	positive	true_positive	false_positive	precision	recall	F1
70	104	75	119	0.38659793814433	0.721153846153846	0.503355704697987
71	104	75	110	0.405405405405405	0.721153846153846	0.519031141868512
72	104	75	107	0.412087912087912	0.721153846153846	0.524475524475524
73	104	75	102	0.423728813559322	0.721153846153846	0.533807829181495
74	104	75	97	0.436046511627907	0.721153846153846	0.543478260869565
75	104	75	95	0.441176470588235	0.721153846153846	0.547445255474453
76	104	74	86	0.4625	0.711538461538462	0.560606060606061
77	104	74	84	0.468354430379747	0.711538461538462	0.564885496183206
78	104	74	81	0.47741935483871	0.711538461538462	0.571428571428572
79	104	74	79	0.483660130718954	0.711538461538462	0.575875486381323
80	104	74	77	0.490066225165563	0.711538461538462	0.580392156862745
81	104	74	70	0.513888888888889	0.711538461538462	0.596774193548387
82	104	74	66	0.528571428571429	0.711538461538462	0.60655737704918
83	104	74	62	0.544117647058823	0.711538461538462	0.616666666666667
84	104	74	60	0.552238805970149	0.711538461538462	0.621848739495798
85	104	73	56	0.565891472868217	0.701923076923077	0.626609442060086
86	104	73	51	0.588709677419355	0.701923076923077	0.640350877192983
87	104	72	47	0.605042016806723	0.692307692307692	0.645739910313901
88	104	72	44	0.620689655172414	0.692307692307692	0.654545454545455
89	104	72	43	0.626086956521739	0.692307692307692	0.657534246575342
90	104	72	38	0.654545454545455	0.692307692307692	0.672897196261682
91	104	72	36	0.666666666666667	0.692307692307692	0.679245283018868
92	104	72	34	0.679245283018868	0.692307692307692	0.685714285714286
93	104	71	32	0.689320388349515	0.682692307692308	0.685990338164251
94	104	70	29	0.707070707070707	0.673076923076923	0.689655172413793
95	104	68	29	0.701030927835051	0.653846153846154	0.676616915422885
96	104	67	28	0.705263157894737	0.644230769230769	0.673366834170854
97	104	65	25	0.722222222222222	0.625	0.670103092783505
98	104	64	22	0.744186046511628	0.615384615384615	0.673684210526316
99	104	62	17	0.784810126582278	0.596153846153846	0.677595628415301
