cutoff	positive	true_positive	false_positive	precision	recall	F1
80	116	101	228	0.306990881458967	0.870689655172414	0.453932584269663
81	116	101	206	0.328990228013029	0.870689655172414	0.477541371158392
82	116	100	183	0.353356890459364	0.862068965517241	0.50125313283208
83	116	100	165	0.377358490566038	0.862068965517241	0.5249343832021
84	116	97	149	0.394308943089431	0.836206896551724	0.535911602209945
85	116	96	140	0.406779661016949	0.827586206896552	0.545454545454545
86	116	94	129	0.42152466367713	0.810344827586207	0.554572271386431
87	116	93	120	0.436619718309859	0.801724137931034	0.565349544072948
88	116	92	103	0.471794871794872	0.793103448275862	0.591639871382637
89	116	91	86	0.514124293785311	0.78448275862069	0.621160409556314
90	116	90	71	0.559006211180124	0.775862068965517	0.649819494584837
91	116	89	62	0.589403973509934	0.767241379310345	0.666666666666667
92	116	88	57	0.606896551724138	0.758620689655172	0.674329501915709
93	116	88	51	0.633093525179856	0.758620689655172	0.690196078431373
94	116	87	44	0.66412213740458	0.75	0.704453441295547
95	116	85	32	0.726495726495726	0.732758620689655	0.729613733905579
96	116	84	29	0.743362831858407	0.724137931034483	0.733624454148472
97	116	81	25	0.764150943396226	0.698275862068966	0.72972972972973
98	116	79	21	0.79	0.681034482758621	0.731481481481482
99	116	75	13	0.852272727272727	0.646551724137931	0.735294117647059
