cutoff	positive	true_positive	false_positive	precision	recall	F1
80	108	101	150	0.402390438247012	0.935185185185185	0.562674094707521
81	108	101	142	0.415637860082305	0.935185185185185	0.575498575498575
82	108	101	132	0.433476394849785	0.935185185185185	0.592375366568915
83	108	100	129	0.436681222707424	0.925925925925926	0.593471810089021
84	108	100	112	0.471698113207547	0.925925925925926	0.625
85	108	100	105	0.48780487804878	0.925925925925926	0.638977635782748
86	108	100	99	0.50251256281407	0.925925925925926	0.651465798045602
87	108	99	92	0.518324607329843	0.916666666666667	0.662207357859532
88	108	98	90	0.521276595744681	0.907407407407407	0.662162162162162
89	108	98	90	0.521276595744681	0.907407407407407	0.662162162162162
90	108	97	87	0.527173913043478	0.898148148148148	0.664383561643836
91	108	96	82	0.539325842696629	0.888888888888889	0.671328671328671
92	108	96	76	0.558139534883721	0.888888888888889	0.685714285714286
93	108	96	73	0.568047337278107	0.888888888888889	0.693140794223827
94	108	96	73	0.568047337278107	0.888888888888889	0.693140794223827
95	108	96	67	0.588957055214724	0.888888888888889	0.708487084870849
96	108	96	66	0.592592592592593	0.888888888888889	0.711111111111111
97	108	96	60	0.615384615384615	0.888888888888889	0.727272727272727
98	108	96	55	0.635761589403974	0.888888888888889	0.741312741312741
99	108	95	48	0.664335664335664	0.87962962962963	0.756972111553785
