cutoff	positive	true_positive	false_positive	precision	recall	F1
70	104	77	50	0.606299212598425	0.740384615384615	0.666666666666667
71	104	77	50	0.606299212598425	0.740384615384615	0.666666666666667
72	104	77	50	0.606299212598425	0.740384615384615	0.666666666666667
73	104	77	47	0.620967741935484	0.740384615384615	0.675438596491228
74	104	77	46	0.626016260162602	0.740384615384615	0.6784140969163
75	104	76	45	0.628099173553719	0.730769230769231	0.675555555555556
76	104	76	44	0.633333333333333	0.730769230769231	0.678571428571428
77	104	76	43	0.638655462184874	0.730769230769231	0.681614349775785
78	104	76	42	0.644067796610169	0.730769230769231	0.684684684684685
79	104	76	41	0.64957264957265	0.730769230769231	0.687782805429864
80	104	76	39	0.660869565217391	0.730769230769231	0.694063926940639
81	104	75	39	0.657894736842105	0.721153846153846	0.688073394495413
82	104	75	39	0.657894736842105	0.721153846153846	0.688073394495413
83	104	75	39	0.657894736842105	0.721153846153846	0.688073394495413
84	104	75	38	0.663716814159292	0.721153846153846	0.691244239631336
85	104	75	38	0.663716814159292	0.721153846153846	0.691244239631336
86	104	74	37	0.666666666666667	0.711538461538462	0.688372093023256
87	104	73	36	0.669724770642202	0.701923076923077	0.685446009389671
88	104	73	35	0.675925925925926	0.701923076923077	0.688679245283019
89	104	73	35	0.675925925925926	0.701923076923077	0.688679245283019
90	104	73	35	0.675925925925926	0.701923076923077	0.688679245283019
91	104	73	33	0.688679245283019	0.701923076923077	0.695238095238095
92	104	73	32	0.695238095238095	0.701923076923077	0.698564593301435
93	104	73	31	0.701923076923077	0.701923076923077	0.701923076923077
94	104	73	30	0.70873786407767	0.701923076923077	0.705314009661836
95	104	72	28	0.72	0.692307692307692	0.705882352941177
96	104	72	28	0.72	0.692307692307692	0.705882352941177
97	104	70	28	0.714285714285714	0.673076923076923	0.693069306930693
98	104	67	26	0.720430107526882	0.644230769230769	0.680203045685279
99	104	66	23	0.741573033707865	0.634615384615385	0.683937823834197
