id	p	q	method	tumor
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	6.1482393298849e-19	1.23973097847799e-14	DriverPower	Bladder-TCC
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	5.03896947386586e-43	1.01605780471031e-38	DriverPower	CNS-GBM
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	2.72359753671898e-08	0.000549186207304015	DriverPower	CNS-Medullo
gc19_pc.promCore::gencode::SDCCAG8::ENSG00000054282.11	2.79487439753765e-07	0.00563558473519491	DriverPower	Eso-AdenoCA
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	6.94299456860235e-07	0.0139998542481298	DriverPower	Head-SCC
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	1.0223655176976e-17	2.06149782988545e-13	DriverPower	Liver-HCC
gc19_pc.promCore::gencode::IFI44L::ENSG00000137959.11	2.0761710010148e-07	0.00209319560322313	DriverPower	Liver-HCC
gc19_pc.promCore::gencode::ALB::ENSG00000163631.12	3.75825001150725e-07	0.00252604510773441	DriverPower	Liver-HCC
gc19_pc.promCore::gencode::IER3::ENSG00000137331.11	1.65131530110511e-06	0.00832428043287084	DriverPower	Liver-HCC
gc19_pc.promCore::gencode::HES1::ENSG00000114315.3	2.70975221542552e-06	0.010927888734368	DriverPower	Liver-HCC
gc19_pc.promCore::gencode::IGLL5::ENSG00000254709.2	1.45702624110901e-25	2.9379477125722e-21	DriverPower	Lymph-BNHL
gc19_pc.promCore::gencode::RFTN1::ENSG00000131378.9	1.59719199993058e-17	1.61028897433001e-13	DriverPower	Lymph-BNHL
gc19_pc.promCore::gencode::SGK1::ENSG00000118515.7	9.75918714789484e-13	6.55947498833839e-09	DriverPower	Lymph-BNHL
gc19_pc.promCore::gencode::ICAM1::ENSG00000090339.4	3.29564991646967e-11	1.45358017658215e-07	DriverPower	Lymph-BNHL
gc19_pc.promCore::gencode::DNMT1::ENSG00000130816.10	3.60439440731539e-11	1.45358017658215e-07	DriverPower	Lymph-BNHL
