chr	start	end	element_ID	p-value
chr19	50691242	50713622	gc19_pc.promCore::gencode::MYH14::ENSG00000105357.11	0.027027027027027
chr12	9094913	9102751	gc19_pc.promCore::gencode::M6PR::ENSG00000003056.3	0.05
chr17	42288335	42299194	gc19_pc.promCore::gencode::UBTF::ENSG00000108312.10	0.0540540540540541
chr12	72079666	72091431	gc19_pc.promCore::gencode::TMEM19::ENSG00000139291.9	0.0833333333333333
chr5	43067958	43122340	gc19_pc.promCore::gencode::ZNF131::ENSG00000172262.7	0.0869565217391304
chr7	134212143	134212543	gc19_pc.promCore::gencode::AKR1B10::ENSG00000198074.5	0.125
chr14	77582710	77648369	gc19_pc.promCore::gencode::TMEM63C::ENSG00000165548.6	0.125
chr1	32757486	32758192	gc19_pc.promCore::gencode::HDAC1::ENSG00000116478.7	0.135135135135135
chr22	41601008	41605679	gc19_pc.promCore::gencode::L3MBTL2::ENSG00000100395.10	0.135135135135135
chr16	30709329	30710661	gc19_pc.promCore::gencode::SRCAP::ENSG00000080603.12	0.135135135135135
chr20	35787107	35808191	gc19_pc.promCore::gencode::MROH8::ENSG00000101353.10	0.189189189189189
chr19	55996170	55997754	gc19_pc.promCore::gencode::NAT14::ENSG00000090971.4	0.208333333333333
chr19	13906073	13928512	gc19_pc.promCore::gencode::ZSWIM4::ENSG00000132003.5	0.216216216216216
chr12	45609602	45686665	gc19_pc.promCore::gencode::ANO6::ENSG00000177119.11	0.222222222222222
chr12	91539785	91577100	gc19_pc.promCore::gencode::DCN::ENSG00000011465.12	0.230769230769231
chr2	27886137	27886537	gc19_pc.promCore::gencode::SLC4A1AP::ENSG00000163798.9	0.243243243243243
chr16	53088744	53242562	gc19_pc.promCore::gencode::CHD9::ENSG00000177200.11	0.25
chr19	35624445	35626304	gc19_pc.promCore::gencode::LGI4::ENSG00000153902.9	0.25
chr3	97887343	97887543	gc19_pc.promCore::gencode::OR5H15::ENSG00000233412.2	0.272727272727273
chr17	56288151	56297166	gc19_pc.promCore::gencode::MKS1::ENSG00000011143.12	0.291666666666667
chr10	52619545	52645635	gc19_pc.promCore::gencode::A1CF::ENSG00000148584.10	0.294117647058824
chr5	149644760	149670054	gc19_pc.promCore::gencode::CAMK2A::ENSG00000070808.11	0.297297297297297
chr1	34091984	34631075	gc19_pc.promCore::gencode::CSMD2::ENSG00000121904.13	0.333333333333333
chrX	84634522	84634948	gc19_pc.promCore::gencode::POF1B::ENSG00000124429.13	0.333333333333333
chr16	15736923	15785298	gc19_pc.promCore::gencode::NDE1::ENSG00000072864.8	0.342105263157895
chr19	51537797	51538686	gc19_pc.promCore::gencode::KLK12::ENSG00000186474.11	0.35
chr22	24863005	24891371	gc19_pc.promCore::gencode::UPB1::ENSG00000100024.10	0.378378378378378
chr19	45842244	45842644	gc19_pc.promCore::gencode::L47234.1::ENSG00000268341.1	0.405405405405405
chr11	115111500	115375875	gc19_pc.promCore::gencode::CADM1::ENSG00000182985.12	0.416666666666667
chr16	24266673	24267073	gc19_pc.promCore::gencode::CACNG3::ENSG00000006116.3	0.423076923076923
chr7	73867919	73960291	gc19_pc.promCore::gencode::GTF2IRD1::ENSG00000006704.6	0.432432432432432
chr14	105190322	105212552	gc19_pc.promCore::gencode::ADSSL1::ENSG00000185100.6	0.459459459459459
chr7	27239696	27239925	gc19_pc.promCore::gencode::HOXA13::ENSG00000106031.6	0.48
chr1	145208918	145224798	gc19_pc.promCore::gencode::NOTCH2NL::ENSG00000213240.7	0.48
chr17	37843966	37873881	gc19_pc.promCore::gencode::ERBB2::ENSG00000141736.9	0.486486486486487
chrX	137793627	138305139	gc19_pc.promCore::gencode::FGF13::ENSG00000129682.9	0.5
chrX	37208327	37208831	gc19_pc.promCore::gencode::PRRG1::ENSG00000130962.13	0.5
chr19	36024113	36027694	gc19_pc.promCore::gencode::GAPDHS::ENSG00000105679.4	0.538461538461538
chrX	48900812	48901212	gc19_pc.promCore::gencode::TFE3::ENSG00000068323.12	0.545454545454545
chr16	10783776	10789002	gc19_pc.promCore::gencode::TEKT5::ENSG00000153060.3	0.55
chr1	27219302	27227157	gc19_pc.promCore::gencode::GPATCH3::ENSG00000198746.8	0.567567567567568
chr10	17270057	17272807	gc19_pc.promCore::gencode::VIM::ENSG00000026025.9	0.578947368421053
chr2	238494542	238499936	gc19_pc.promCore::gencode::RAB17::ENSG00000124839.8	0.62962962962963
chr16	2254396	2256041	gc19_pc.promCore::gencode::MLST8::ENSG00000167965.13	0.675675675675676
chr1	235292051	235292451	gc19_pc.promCore::gencode::TOMM20::ENSG00000173726.6	0.675675675675676
chr4	1340853	1368894	gc19_pc.promCore::gencode::UVSSA::ENSG00000163945.11	0.675675675675676
chr22	35776153	35777027	gc19_pc.promCore::gencode::HMOX1::ENSG00000100292.12	0.68
chr2	11817520	11927455	gc19_pc.promCore::gencode::LPIN1::ENSG00000134324.7	0.696969696969697
chr19	51334569	51340669	gc19_pc.promCore::gencode::KLK15::ENSG00000174562.9	0.7
chr22	31089568	31289427	gc19_pc.promCore::gencode::OSBP2::ENSG00000184792.11	0.72972972972973
chr6	46839402	46922880	gc19_pc.promCore::gencode::GPR116::ENSG00000069122.14	0.75
chr16	23313390	23359892	gc19_pc.promCore::gencode::SCNN1B::ENSG00000168447.6	0.75
chrX	14547219	14549467	gc19_pc.promCore::gencode::GLRA2::ENSG00000101958.9	0.777777777777778
chr8	6856517	6875978	gc19_pc.promCore::gencode::DEFA1B::ENSG00000240247.2	0.8
chr17	58259129	58500031	gc19_pc.promCore::gencode::USP32::ENSG00000170832.8	0.815789473684211
chr2	149894780	150017189	gc19_pc.promCore::gencode::LYPD6B::ENSG00000150556.12	0.818181818181818
