chr	start	end	element_ID	p-value
chr12	48498721	48535955	gc19_pc.promCore::gencode::PFKM::ENSG00000152556.11	0.0144927536231884
chr1	35246589	35248078	gc19_pc.promCore::gencode::GJB3::ENSG00000188910.7	0.0188679245283019
chr17	44249509	44302933	gc19_pc.promCore::gencode::KANSL1::ENSG00000120071.8	0.03125
chr16	31085542	31087422	gc19_pc.promCore::gencode::ZNF646::ENSG00000167395.10	0.0392156862745098
chr17	37353755	37354156	gc19_pc.promCore::gencode::CACNB1::ENSG00000067191.11	0.0508474576271186
chrX	37430621	37431104	gc19_pc.promCore::gencode::LANCL3::ENSG00000147036.7	0.0588235294117647
chr19	36630276	36632694	gc19_pc.promCore::gencode::CAPNS1::ENSG00000126247.6	0.0757575757575758
chr16	15068247	15070819	gc19_pc.promCore::gencode::PDXDC1::ENSG00000179889.14	0.0806451612903226
chr1	231297657	231298715	gc19_pc.promCore::gencode::TRIM67::ENSG00000119283.11	0.1
chr8	22461944	22472100	gc19_pc.promCore::gencode::CCAR2::ENSG00000158941.12	0.101694915254237
chr5	72415918	72416595	gc19_pc.promCore::gencode::TMEM171::ENSG00000157111.8	0.104477611940299
chr17	63051692	63053157	gc19_pc.promCore::gencode::GNA13::ENSG00000120063.5	0.106382978723404
chr8	134488647	134584383	gc19_pc.promCore::gencode::ST3GAL1::ENSG00000008513.10	0.115384615384615
chr22	29107719	29138610	gc19_pc.promCore::gencode::CHEK2::ENSG00000183765.16	0.11864406779661
chrX	16185403	16188505	gc19_pc.promCore::gencode::MAGEB17::ENSG00000182798.6	0.131578947368421
chrX	150863395	150868957	gc19_pc.promCore::gencode::PRRG3::ENSG00000130032.11	0.133333333333333
chr19	1446099	1452396	gc19_pc.promCore::gencode::APC2::ENSG00000115266.7	0.135593220338983
chr11	64794679	64795219	gc19_pc.promCore::gencode::SNX15::ENSG00000110025.8	0.152542372881356
chr1	11740968	11751907	gc19_pc.promCore::gencode::MAD2L2::ENSG00000116670.10	0.161290322580645
