chr	start	end	element_ID	p-value
chr2	44126223	44223344	gc19_pc.promCore::gencode::LRPPRC::ENSG00000138095.14	0.00224719101123596
chr15	40398287	40401293	gc19_pc.promCore::gencode::BMF::ENSG00000104081.9	0.0050761421319797
chr5	1295104	1295362	gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	0.00529100529100529
chr1	207095012	207096792	gc19_pc.promCore::gencode::FAIM3::ENSG00000162894.7	0.00699300699300699
chr6	34360251	34360651	gc19_pc.promCore::gencode::NUDT3::ENSG00000272325.1	0.00726392251815981
chrX	119763650	119764205	gc19_pc.promCore::gencode::C1GALT1C1::ENSG00000171155.7	0.00793650793650794
chr11	62600339	62609481	gc19_pc.promCore::gencode::WDR74::ENSG00000133316.11	0.00985221674876847
chr6	144606636	145120716	gc19_pc.promCore::gencode::UTRN::ENSG00000152818.14	0.0115606936416185
chr14	71067160	71067584	gc19_pc.promCore::gencode::MED6::ENSG00000133997.7	0.0121951219512195
chr17	1264612	1303872	gc19_pc.promCore::gencode::YWHAE::ENSG00000108953.12	0.0134048257372654
chr11	108535551	108535880	gc19_pc.promCore::gencode::DDX10::ENSG00000178105.5	0.0142857142857143
chr17	73775255	73781767	gc19_pc.promCore::gencode::H3F3B::ENSG00000132475.4	0.0160857908847185
chr2	157186720	157199060	gc19_pc.promCore::gencode::NR4A2::ENSG00000153234.9	0.0163934426229508
chr14	55878540	55878776	gc19_pc.promCore::gencode::ATG14::ENSG00000126775.8	0.0187793427230047
chr4	115519410	115543722	gc19_pc.promCore::gencode::UGT8::ENSG00000174607.6	0.0206185567010309
chr14	94421417	94443337	gc19_pc.promCore::gencode::ASB2::ENSG00000100628.7	0.0212765957446809
chr1	244998423	244999117	gc19_pc.promCore::gencode::COX20::ENSG00000203667.5	0.0229226361031519
chr17	76899083	76899497	gc19_pc.promCore::gencode::DDC8::ENSG00000178404.5	0.0241286863270777
chr1	249150165	249153484	gc19_pc.promCore::gencode::ZNF692::ENSG00000171163.11	0.024390243902439
chr2	120124296	120125452	gc19_pc.promCore::gencode::DBI::ENSG00000155368.12	0.0271186440677966
chr7	99070263	99070734	gc19_pc.promCore::gencode::ZNF789::ENSG00000198556.9	0.0283018867924528
chr17	26902732	26904482	gc19_pc.promCore::gencode::ALDOC::ENSG00000109107.9	0.0300230946882217
chrX	153625294	153628423	gc19_pc.promCore::gencode::RPL10::ENSG00000147403.12	0.0307692307692308
chr11	65101024	65113380	gc19_pc.promCore::gencode::DPF2::ENSG00000133884.5	0.032171581769437
chr6	134495802	134639450	gc19_pc.promCore::gencode::SGK1::ENSG00000118515.7	0.0327868852459016
chr7	151329244	151574410	gc19_pc.promCore::gencode::PRKAG2::ENSG00000106617.9	0.0338600451467269
chr11	62413881	62414304	gc19_pc.promCore::gencode::GANAB::ENSG00000089597.12	0.0344827586206897
chr1	170114941	170115248	gc19_pc.promCore::gencode::METTL11B::ENSG00000203740.3	0.0344827586206897
chr6	27100631	27100850	gc19_pc.promCore::gencode::HIST1H2AG::ENSG00000196787.2	0.0357142857142857
chr2	220094278	220094880	gc19_pc.promCore::gencode::ANKZF1::ENSG00000163516.9	0.037593984962406
chr9	19379996	19380452	gc19_pc.promCore::gencode::RPS6::ENSG00000137154.8	0.0381679389312977
chr17	37763996	37764396	gc19_pc.promCore::gencode::NEUROD2::ENSG00000171532.4	0.0428954423592493
chr12	10319576	10324937	gc19_pc.promCore::gencode::OLR1::ENSG00000173391.4	0.0444444444444444
chr6	26216871	26217072	gc19_pc.promCore::gencode::HIST1H2BG::ENSG00000187990.4	0.0486111111111111
chr10	103577423	103578896	gc19_pc.promCore::gencode::MGEA5::ENSG00000198408.9	0.0517241379310345
chr7	94536313	94539409	gc19_pc.promCore::gencode::PPP1R9A::ENSG00000158528.7	0.051948051948052
chr1	160616611	160617285	gc19_pc.promCore::gencode::SLAMF1::ENSG00000117090.10	0.0531914893617021
chr5	139682468	139682906	gc19_pc.promCore::gencode::PFDN1::ENSG00000113068.5	0.0532994923857868
chr16	55357471	55357871	gc19_pc.promCore::gencode::IRX6::ENSG00000159387.7	0.0552763819095477
chr15	43622687	43638304	gc19_pc.promCore::gencode::ADAL::ENSG00000168803.10	0.0558139534883721
chr10	11047058	11207690	gc19_pc.promCore::gencode::CELF2::ENSG00000048740.13	0.0567010309278351
chr17	49302522	49337627	gc19_pc.promCore::gencode::MBTD1::ENSG00000011258.11	0.0567901234567901
chr17	39779320	39781294	gc19_pc.promCore::gencode::KRT17::ENSG00000128422.11	0.0586854460093897
chr2	74685255	74685729	gc19_pc.promCore::gencode::WBP1::ENSG00000239779.2	0.0591133004926108
chr1	79383405	79472603	gc19_pc.promCore::gencode::ELTD1::ENSG00000162618.8	0.0595238095238095
chr6	136172633	136470423	gc19_pc.promCore::gencode::PDE7B::ENSG00000171408.9	0.0597701149425287
chr10	124768294	124787249	gc19_pc.promCore::gencode::ACADSB::ENSG00000196177.8	0.0612244897959184
chr1	115323228	115323506	gc19_pc.promCore::gencode::SIKE1::ENSG00000052723.7	0.0612244897959184
chr19	10290930	10342162	gc19_pc.promCore::gencode::DNMT1::ENSG00000130816.10	0.0616621983914209
chr20	45927444	45985767	gc19_pc.promCore::gencode::ZMYND8::ENSG00000101040.15	0.0619266055045872
chr20	22564919	22566293	gc19_pc.promCore::gencode::FOXA2::ENSG00000125798.10	0.0645161290322581
chr7	106684893	106685293	gc19_pc.promCore::gencode::PRKAR2B::ENSG00000005249.8	0.0645161290322581
chr14	70193416	70234856	gc19_pc.promCore::gencode::SRSF5::ENSG00000100650.11	0.0672853828306264
chr18	23805699	23806649	gc19_pc.promCore::gencode::TAF4B::ENSG00000141384.7	0.0677083333333333
chr1	59249585	59249985	gc19_pc.promCore::gencode::JUN::ENSG00000177606.5	0.0714285714285714
chr17	79369074	79369474	gc19_pc.promCore::gencode::RP11-1055B8.6::ENSG00000263053.3	0.0723860589812333
chr3	46759147	46854264	gc19_pc.promCore::gencode::PRSS50::ENSG00000206549.8	0.0744336569579288
chr19	49137583	49140895	gc19_pc.promCore::gencode::DBP::ENSG00000105516.6	0.0750670241286863
chr17	2414980	2415383	gc19_pc.promCore::gencode::METTL16::ENSG00000127804.8	0.0759803921568627
chr1	16766966	16767430	gc19_pc.promCore::gencode::NECAP2::ENSG00000157191.15	0.0804289544235925
chr7	134428802	134605385	gc19_pc.promCore::gencode::CALD1::ENSG00000122786.15	0.0816326530612245
chr1	173837019	173838293	gc19_pc.promCore::gencode::ZBTB37::ENSG00000185278.10	0.0824742268041237
chr17	58677343	58682154	gc19_pc.promCore::gencode::PPM1D::ENSG00000170836.7	0.0825471698113208
chr5	58295559	59784103	gc19_pc.promCore::gencode::PDE4D::ENSG00000113448.12	0.0846774193548387
chr10	70883067	70892853	gc19_pc.promCore::gencode::VPS26A::ENSG00000122958.10	0.0849056603773585
chr1	22456364	22470662	gc19_pc.promCore::gencode::WNT4::ENSG00000162552.10	0.0857908847184987
chrX	153607356	153607832	gc19_pc.promCore::gencode::EMD::ENSG00000102119.6	0.0871794871794872
chr17	62499486	62503848	gc19_pc.promCore::gencode::DDX5::ENSG00000108654.7	0.0872817955112219
chr15	100017169	100106887	gc19_pc.promCore::gencode::MEF2A::ENSG00000068305.13	0.0886524822695035
chr10	3186358	3215203	gc19_pc.promCore::gencode::PITRM1::ENSG00000107959.11	0.0895522388059701
chr1	7994960	8001126	gc19_pc.promCore::gencode::TNFRSF9::ENSG00000049249.4	0.0920096852300242
chr7	117067377	117068377	gc19_pc.promCore::gencode::ASZ1::ENSG00000154438.3	0.0921052631578947
chr1	192992852	193029437	gc19_pc.promCore::gencode::UCHL5::ENSG00000116750.9	0.0927835051546392
chr9	109625177	109701457	gc19_pc.promCore::gencode::ZNF462::ENSG00000148143.8	0.0934579439252336
chr6	12008794	12126178	gc19_pc.promCore::gencode::HIVEP1::ENSG00000095951.12	0.0974358974358974
chr18	77439600	77441048	gc19_pc.promCore::gencode::CTDP1::ENSG00000060069.12	0.100591715976331
chr14	55518148	55518548	gc19_pc.promCore::gencode::MAPK1IP1L::ENSG00000168175.10	0.10093896713615
chrX	18708831	18836412	gc19_pc.promCore::gencode::PPEF1::ENSG00000086717.14	0.102564102564103
chr4	141677199	141677474	gc19_pc.promCore::gencode::TBC1D9::ENSG00000109436.7	0.102678571428571
chr13	33760159	33924967	gc19_pc.promCore::gencode::STARD13::ENSG00000133121.16	0.102836879432624
chr11	73470938	73472382	gc19_pc.promCore::gencode::RAB6A::ENSG00000175582.15	0.104116222760291
