chr	start	end	element_ID	p-value
chr4	152020524	152021224	gc19_pc.promCore::gencode::RPS3A::ENSG00000145425.5	0.00446428571428571
chr1	36620979	36643269	gc19_pc.promCore::gencode::MAP7D1::ENSG00000116871.11	0.00675675675675676
chr17	27369717	27371468	gc19_pc.promCore::gencode::PIPOX::ENSG00000179761.7	0.0101351351351351
chr6	26216964	26217202	gc19_pc.promCore::gencode::HIST1H2AE::ENSG00000168274.3	0.010989010989011
chr5	37370687	37371483	gc19_pc.promCore::gencode::NUP155::ENSG00000113569.11	0.0120481927710843
chr6	122720490	122743500	gc19_pc.promCore::gencode::HSF2::ENSG00000025156.8	0.0131578947368421
chr22	41842589	41843227	gc19_pc.promCore::gencode::TOB2::ENSG00000183864.4	0.0135135135135135
chr12	93963389	93969033	gc19_pc.promCore::gencode::SOCS2::ENSG00000120833.9	0.013808949655345
chr18	48086247	48087211	gc19_pc.promCore::gencode::MAPK4::ENSG00000141639.7	0.0166666666666667
chr11	62623317	62652848	gc19_pc.promCore::gencode::SLC3A2::ENSG00000168003.12	0.0168918918918919
chr16	19179092	19222678	gc19_pc.promCore::gencode::SYT17::ENSG00000103528.12	0.0170940170940171
chr2	3622594	3623147	gc19_pc.promCore::gencode::RPS7::ENSG00000171863.8	0.0173913043478261
chr22	17602284	17602684	gc19_pc.promCore::gencode::AC006946.15::ENSG00000235478.1	0.0196078431372549
chr12	54652011	54674086	gc19_pc.promCore::gencode::CBX5::ENSG00000094916.9	0.0202702702702703
chr17	7475943	7480049	gc19_pc.promCore::gencode::EIF4A1::ENSG00000161960.10	0.0236486486486486
chr7	12726280	12727459	gc19_pc.promCore::gencode::ARL4A::ENSG00000122644.8	0.0254237288135593
chr12	96336870	96341033	gc19_pc.promCore::gencode::AMDHD1::ENSG00000139344.3	0.027027027027027
chr20	36148505	36156533	gc19_pc.promCore::gencode::BLCAP::ENSG00000166619.8	0.0295081967213115
chr1	158969557	158985641	gc19_pc.promCore::gencode::IFI16::ENSG00000163565.14	0.0298507462686567
chr15	40121318	40213293	gc19_pc.promCore::gencode::GPR176::ENSG00000166073.4	0.0337837837837838
chr2	160203904	160473403	gc19_pc.promCore::gencode::BAZ2B::ENSG00000123636.13	0.0346153846153846
chr4	125633687	125634087	gc19_pc.promCore::gencode::ANKRD50::ENSG00000151458.7	0.036036036036036
chrX	41420680	41782916	gc19_pc.promCore::gencode::CASK::ENSG00000147044.16	0.0378378378378378
chr17	55944576	56032884	gc19_pc.promCore::gencode::CUEDC1::ENSG00000180891.8	0.039344262295082
chr2	232572193	232575400	gc19_pc.promCore::gencode::PTMA::ENSG00000187514.10	0.040133779264214
chr17	73844543	73852788	gc19_pc.promCore::gencode::WBP2::ENSG00000132471.7	0.0405405405405405
chr2	175199473	175199873	gc19_pc.promCore::gencode::SP9::ENSG00000217236.1	0.0423076923076923
chr8	89339517	89340454	gc19_pc.promCore::gencode::MMP16::ENSG00000156103.11	0.0434782608695652
chr11	93861893	93862294	gc19_pc.promCore::gencode::PANX1::ENSG00000110218.4	0.0434782608695652
chr12	6861644	6876841	gc19_pc.promCore::gencode::MLF2::ENSG00000089693.6	0.0439189189189189
chr8	38853958	38854543	gc19_pc.promCore::gencode::TM2D2::ENSG00000169490.12	0.0440677966101695
chr7	150745178	150748499	gc19_pc.promCore::gencode::ASIC3::ENSG00000213199.3	0.0444444444444444
chr5	71014789	71015120	gc19_pc.promCore::gencode::CARTPT::ENSG00000164326.4	0.0458015267175573
chr4	80993517	80994826	gc19_pc.promCore::gencode::ANTXR2::ENSG00000163297.12	0.0467289719626168
chr5	148205955	148206355	gc19_pc.promCore::gencode::ADRB2::ENSG00000169252.4	0.049645390070922
chr18	31603422	31803715	gc19_pc.promCore::gencode::NOL4::ENSG00000101746.11	0.05
chrX	48455665	48456079	gc19_pc.promCore::gencode::WDR13::ENSG00000101940.13	0.051063829787234
chr14	73524943	73563943	gc19_pc.promCore::gencode::RBM25::ENSG00000119707.9	0.0542372881355932
chr12	44926204	45315831	gc19_pc.promCore::gencode::NELL2::ENSG00000184613.6	0.0569620253164557
chr7	81600205	82073314	gc19_pc.promCore::gencode::CACNA2D1::ENSG00000153956.11	0.0603448275862069
chr2	32581895	32658915	gc19_pc.promCore::gencode::BIRC6::ENSG00000115760.9	0.0604982206405694
chr11	66886539	67007678	gc19_pc.promCore::gencode::KDM2A::ENSG00000173120.10	0.0608108108108108
chr5	76935313	76935713	gc19_pc.promCore::gencode::OTP::ENSG00000171540.6	0.0614754098360656
chrX	114953549	114953869	gc19_pc.promCore::gencode::RP1-241P17.4::ENSG00000228532.2	0.0619469026548673
chr8	30514322	30515968	gc19_pc.promCore::gencode::GTF2E2::ENSG00000197265.4	0.0635451505016722
chr5	147161905	147162538	gc19_pc.promCore::gencode::JAKMIP2::ENSG00000176049.11	0.0648148148148148
chr6	32936236	32944318	gc19_pc.promCore::gencode::BRD2::ENSG00000204256.8	0.0687022900763359
chr12	57881539	57909132	gc19_pc.promCore::gencode::MARS::ENSG00000166986.8	0.0709459459459459
chr18	21759599	21978023	gc19_pc.promCore::gencode::OSBPL1A::ENSG00000141447.12	0.0714285714285714
chr2	108904894	108910334	gc19_pc.promCore::gencode::SULT1C2::ENSG00000198203.5	0.0746268656716418
chr19	40724288	40724506	gc19_pc.promCore::gencode::TTC9B::ENSG00000174521.7	0.0749185667752443
chr17	73775255	73781767	gc19_pc.promCore::gencode::H3F3B::ENSG00000132475.4	0.0810810810810811
chr19	54466093	54466396	gc19_pc.promCore::gencode::CACNG8::ENSG00000142408.2	0.0822510822510823
chr2	63815542	63821601	gc19_pc.promCore::gencode::MDH1::ENSG00000014641.13	0.0829694323144105
chr22	17680473	17703079	gc19_pc.promCore::gencode::CECR1::ENSG00000093072.11	0.0849673202614379
chr10	115614219	115614619	gc19_pc.promCore::gencode::NHLRC2::ENSG00000196865.4	0.0851063829787234
chr17	26800110	26800955	gc19_pc.promCore::gencode::SLC13A2::ENSG00000007216.10	0.0860927152317881
chr21	43735246	43735961	gc19_pc.promCore::gencode::TFF3::ENSG00000160180.14	0.0877862595419847
chr14	21489081	21539231	gc19_pc.promCore::gencode::NDRG2::ENSG00000165795.16	0.0898876404494382
chr11	47200601	47208194	gc19_pc.promCore::gencode::PACSIN3::ENSG00000165912.11	0.0912162162162162
chr10	121410681	121416321	gc19_pc.promCore::gencode::BAG3::ENSG00000151929.5	0.0913469041938864
chr18	61022566	61034943	gc19_pc.promCore::gencode::KDSR::ENSG00000119537.11	0.0915032679738562
chr8	101947084	101965769	gc19_pc.promCore::gencode::YWHAZ::ENSG00000164924.13	0.0915492957746479
chr2	8910637	8977960	gc19_pc.promCore::gencode::KIDINS220::ENSG00000134313.10	0.092896174863388
chr3	46919035	46944288	gc19_pc.promCore::gencode::PTH1R::ENSG00000160801.9	0.0933852140077821
chr8	41347714	41348372	gc19_pc.promCore::gencode::GOLGA7::ENSG00000147533.12	0.0968992248062016
chr1	111415574	111415975	gc19_pc.promCore::gencode::CD53::ENSG00000143119.8	0.0969162995594714
chr5	176237277	176292750	gc19_pc.promCore::gencode::UNC5A::ENSG00000113763.6	0.097972972972973
chr8	50822148	51306972	gc19_pc.promCore::gencode::SNTG1::ENSG00000147481.9	0.1
chr19	53393392	53401146	gc19_pc.promCore::gencode::ZNF320::ENSG00000182986.8	0.100840336134454
chr16	21273279	21314604	gc19_pc.promCore::gencode::CRYM::ENSG00000103316.6	0.102473498233216
chr11	62600339	62609481	gc19_pc.promCore::gencode::WDR74::ENSG00000133316.11	0.10472972972973
chr10	11865196	11911468	gc19_pc.promCore::gencode::PROSER2::ENSG00000148426.8	0.10958904109589
chr17	7517063	7517463	gc19_pc.promCore::gencode::AC007421.1::ENSG00000268503.1	0.111486486486486
chr1	153935538	153940388	gc19_pc.promCore::gencode::SLC39A1::ENSG00000143570.13	0.112582781456954
chr1	36022873	36028268	gc19_pc.promCore::gencode::NCDN::ENSG00000020129.11	0.114864864864865
chr19	53465876	53466276	gc19_pc.promCore::gencode::ZNF321P::ENSG00000221874.4	0.117647058823529
chr6	26020517	26020717	gc19_pc.promCore::gencode::HIST1H3A::ENSG00000198366.5	0.120879120879121
chr19	54959864	54969472	gc19_pc.promCore::gencode::LENG8::ENSG00000167615.12	0.121212121212121
chr7	16685242	16685642	gc19_pc.promCore::gencode::ANKMY2::ENSG00000106524.4	0.122448979591837
chr9	95400161	95432747	gc19_pc.promCore::gencode::IPPK::ENSG00000127080.5	0.123239436619718
chr15	89164326	89164800	gc19_pc.promCore::gencode::AEN::ENSG00000181026.13	0.124113475177305
chr8	17092389	17104587	gc19_pc.promCore::gencode::CNOT7::ENSG00000198791.7	0.125
chr12	70636573	70736248	gc19_pc.promCore::gencode::CNOT2::ENSG00000111596.7	0.128491620111732
chr3	98619815	98620733	gc19_pc.promCore::gencode::DCBLD2::ENSG00000057019.11	0.130434782608696
chr16	27214606	27226491	gc19_pc.promCore::gencode::KDM8::ENSG00000155666.7	0.133064516129032
chr15	44069182	44092672	gc19_pc.promCore::gencode::SERF2::ENSG00000140264.15	0.134868421052632
chr12	121448752	121454505	gc19_pc.promCore::gencode::C12orf43::ENSG00000157895.7	0.135135135135135
chr16	699124	717110	gc19_pc.promCore::gencode::WDR90::ENSG00000161996.13	0.135135135135135
chr22	45680662	45681071	gc19_pc.promCore::gencode::UPK3A::ENSG00000100373.5	0.13953488372093
