id	raw_p
mirna.prom::chr17:79093035-79096653_3::NA::NA	0.88788205
mirna.prom::chr9:139560443-139560455_1::NA::NA	1
mirna.prom::chr2:176032677-176032697_1::NA::NA	1
mirna.prom::chr17:13460059-13493119_2::NA::NA	0.92360328
mirna.prom::chr12:112204925-112204963_1::NA::NA	1
mirna.prom::chr2:47594643-47595043_1::NA::NA	0.54514369
mirna.prom::chr22:18484146-18484432_2::NA::NA	0.3332299
mirna.prom::chr19:10906881-10911540_3::NA::NA	0.602222
mirna.prom::chr3:128968648-128968673_1::NA::NA	0.16946311
mirna.prom::chr6:57227555-57227955_1::NA::NA	1
mirna.prom::chr20:32589794-32612083_2::NA::NA	0.160486608
mirna.prom::chr4:183058237-183058637_1::NA::NA	0.2847927
mirna.prom::chr16:15150121-15150124_1::NA::NA	1
mirna.prom::chr20:10636664-10637039_1::NA::NA	0.8978946
mirna.prom::chr12:120632713-120632716_1::NA::NA	1
mirna.prom::chr4:53578433-53578833_2::NA::NA	0.93175881
mirna.prom::chr5:168694693-168695093_1::NA::NA	0.926920294
mirna.prom::chr5:14872087-14872115_1::NA::NA	1
mirna.prom::chr1:151512984-151512991_1::NA::NA	1
mirna.prom::chr10:694729-695129_1::NA::NA	0.923962322
mirna.prom::chr9:97847429-97847829_3::NA::NA	0.02491256
mirna.prom::chr10:115933753-115933761_1::NA::NA	1
mirna.prom::chr6:138787858-138788258_1::NA::NA	0.63861507
mirna.prom::chr12:69677809-69678176_1::NA::NA	0.666284932
mirna.prom::chr3:96073722-96073955_1::NA::NA	0.59248494
mirna.prom::chr19:42639069-42681636_2::NA::NA	0.98428702
mirna.prom::chr5:133512085-133512210_1::NA::NA	1
mirna.prom::chr17:37880734-37880958_1::NA::NA	0.81883563
mirna.prom::chr5:168199969-168223724_3::NA::NA	0.61368697
mirna.prom::chr19:13976535-13984307_2::NA::NA	0.965219181
mirna.prom::chr3:50302335-50310404_5::NA::NA	0.98591079
mirna.prom::chr7:158380680-158380945_1::NA::NA	0.796007359
mirna.prom::chr2:32727720-32746136_4::NA::NA	0.73245962
mirna.prom::chr13:21009720-21010120_1::NA::NA	0.318072
mirna.prom::chr2:238374311-238396119_3::NA::NA	0.96270664
mirna.prom::chr3:75263421-75263781_2::NA::NA	0.44876018
mirna.prom::chr20:33584990-33587746_4::NA::NA	0.72335943
mirna.prom::chr17:28435874-28436274_1::NA::NA	1
mirna.prom::chr17:36861384-36861594_1::NA::NA	1
mirna.prom::chr10:98592238-98593465_3::NA::NA	0.357075649
mirna.prom::chrX:108297835-108297925_1::NA::NA	0.89660251
mirna.prom::chr8:10917048-10917448_1::NA::NA	0.7733901088
mirna.prom::chr9:126258739-126274676_4::NA::NA	0.81083748
mirna.prom::chr8:22103133-22105838_3::NA::NA	0.7548892
mirna.prom::chr1:143467632-143467808_1::NA::NA	1.163472e-05
mirna.prom::chr14:105156173-105169200_3::NA::NA	1
mirna.prom::chr17:1963017-1963132_1::NA::NA	0.196648197
mirna.prom::chr10:12209898-12211236_2::NA::NA	0.92755313
mirna.prom::chr10:12781129-12781529_1::NA::NA	0.83662737
mirna.prom::chr13:41707082-41707129_1::NA::NA	1
mirna.prom::chr7:130598153-130598553_1::NA::NA	0.748457665
mirna.prom::chr6:10435107-10435408_1::NA::NA	1
mirna.prom::chr11:67250734-67250818_1::NA::NA	0.1026528
mirna.prom::chr15:74734444-74734844_1::NA::NA	0.11232337
mirna.prom::chr3:44106647-44107047_1::NA::NA	0.36256624
mirna.prom::chr1:247373940-247374340_2::NA::NA	1
mirna.prom::chr18:56126007-56126407_1::NA::NA	0.63052533
mirna.prom::chr11:64681992-64701148_3::NA::NA	0.978573653
mirna.prom::chr3:127292727-127294944_4::NA::NA	0.12472389
mirna.prom::chr19:10514409-10514432_1::NA::NA	1
mirna.prom::chr1:26872542-26872556_1::NA::NA	1
mirna.prom::chr14:95623959-95623981_1::NA::NA	1
mirna.prom::chr16:15693628-15730925_2::NA::NA	0.8117354
mirna.prom::chr15:37284259-37308542_7::NA::NA	0.855518765
mirna.prom::chr17:29885938-29886338_1::NA::NA	1
mirna.prom::chr2:79888807-79891894_2::NA::NA	0.65463785
mirna.prom::chr2:110829751-110830151_1::NA::NA	1
mirna.prom::chr17:37023701-37024101_2::NA::NA	0.211271324
mirna.prom::chr8:145659323-145664004_4::NA::NA	0.83059543
mirna.prom::chr4:115560847-115561247_1::NA::NA	0.785742623
mirna.prom::chr7:1068175-1068205_1::NA::NA	1
mirna.prom::chr2:180726432-180726490_1::NA::NA	0.26523128
mirna.prom::chr1:201924818-201924846_1::NA::NA	1
mirna.prom::chr5:15927759-15927978_1::NA::NA	0.563320479
mirna.prom::chr14:100610573-100625732_2::NA::NA	0.331314425
mirna.prom::chr6:32144099-32144125_1::NA::NA	1
mirna.prom::chr10:74472261-74472634_1::NA::NA	1
mirna.prom::chr16:2205359-2232522_8::NA::NA	0.46116047
mirna.prom::chrX:154651922-154652322_1::NA::NA	0.808479497
mirna.prom::chr14:77702579-77702946_1::NA::NA	0.6125312
mirna.prom::chr17:56415276-56415676_1::NA::NA	0.873032866
mirna.prom::chr7:127807686-127841568_2::NA::NA	0.607272795
mirna.prom::chr17:1954556-1958620_2::NA::NA	0.3426045
mirna.prom::chr8:145619790-145619852_1::NA::NA	1
mirna.prom::chr1:110131004-110132039_2::NA::NA	0.112708676
mirna.prom::chr17:29813550-29813950_1::NA::NA	0.235506699
mirna.prom::chr18:159422-159822_1::NA::NA	0.6405628347
