id	raw_p
mirna.prom::chr10:53021399-53021799_1::NA::NA	0.5356592
mirna.prom::chr6:99536605-99561255_3::NA::NA	0.55409202
mirna.prom::chr6:36627847-36628247_1::NA::NA	0.3859237
mirna.prom::chr16:2318613-2318623_1::NA::NA	1
mirna.prom::chr11:64681992-64701148_3::NA::NA	0.7896909
mirna.prom::chr3:48594049-48594056_1::NA::NA	1
mirna.prom::chr21:45077792-45077825_1::NA::NA	1
mirna.prom::chr6:159028577-159029344_2::NA::NA	1
mirna.prom::chr6:43392911-43395510_2::NA::NA	0.85964389
mirna.prom::chr7:5763115-5767044_3::NA::NA	0.00927171
mirna.prom::chr14:50766799-50789208_2::NA::NA	0.50316095
mirna.prom::chr19:52715237-52717966_4::NA::NA	0.7400475
mirna.prom::chrX:73513154-73513554_2::NA::NA	0.74796689
mirna.prom::chr1:156931604-156949656_4::NA::NA	0.797110876
mirna.prom::chr6:52000881-52001281_1::NA::NA	0.649775677
mirna.prom::chr12:121884658-121885539_2::NA::NA	0.86434136
mirna.prom::chr20:60639492-60639500_1::NA::NA	1
mirna.prom::chr2:225907359-225907501_1::NA::NA	1
mirna.prom::chr2:54084327-54084727_1::NA::NA	0.51295188
mirna.prom::chr2:86038231-86038631_1::NA::NA	0.7549843
mirna.prom::chr10:104169047-104169435_1::NA::NA	0.2136261
mirna.prom::chr19:2435189-2448287_4::NA::NA	0.5551457
mirna.prom::chr6:32728998-32729398_1::NA::NA	0.294570213
mirna.prom::chr8:9761720-9763475_2::NA::NA	0.776461899
mirna.prom::chr1:52302556-52306207_2::NA::NA	0.03938457
mirna.prom::chr12:49165856-49166256_2::NA::NA	1
mirna.prom::chr6:2876432-2903314_6::NA::NA	0.98709678
mirna.prom::chr2:135596387-135596397_1::NA::NA	1
mirna.prom::chr7:32767546-32767946_1::NA::NA	0.54435546
mirna.prom::chr16:30904088-30904385_2::NA::NA	1
mirna.prom::chr2:89064852-89092080_3::NA::NA	0.75887734
mirna.prom::chr1:94312086-94312486_2::NA::NA	1
mirna.prom::chr2:28172254-28172654_1::NA::NA	1
mirna.prom::chr3:50302335-50310404_5::NA::NA	0.762955409
mirna.prom::chr9:36881605-36881994_1::NA::NA	0.65391685
mirna.prom::chr13:102738485-102738885_1::NA::NA	0.6046618
mirna.prom::chr2:11886963-11901239_2::NA::NA	0.94903223
mirna.prom::chr5:167996023-167996343_1::NA::NA	1
