id	raw_p
mirna.prom::chr14:95623959-95623981_1::NA::NA	1
mirna.prom::chr15:74734444-74734844_1::NA::NA	0.33055654
mirna.prom::chr1:94312086-94312486_2::NA::NA	1
mirna.prom::chr19:12985765-13030368_2::NA::NA	0.83589003
mirna.prom::chr14:105617268-105617515_2::NA::NA	1
mirna.prom::chr2:208174676-208175076_1::NA::NA	0.9027299
mirna.prom::chr2:228336632-228336667_1::NA::NA	1
mirna.prom::chr10:12209898-12211236_2::NA::NA	0.7549558672
mirna.prom::chr1:5931381-5972011_4::NA::NA	0.8552175
mirna.prom::chr1:43903008-43910754_4::NA::NA	0.38832823
mirna.prom::chr1:209800944-209801311_1::NA::NA	0.95976886
mirna.prom::chr1:41204709-41204761_1::NA::NA	0.1497239
mirna.prom::chr8:9588355-9588755_2::NA::NA	1
mirna.prom::chr11:70124282-70125503_2::NA::NA	0.360740237
mirna.prom::chr12:57578241-57588116_3::NA::NA	0.6218614
mirna.prom::chr21:15038870-15039079_1::NA::NA	1
mirna.prom::chr8:124253214-124268594_2::NA::NA	0.856744479
mirna.prom::chr3:50712184-50712471_1::NA::NA	1
mirna.prom::chrX:108297835-108297925_1::NA::NA	0.767710437
mirna.prom::chr8:141766706-141767106_1::NA::NA	0.9590827
mirna.prom::chr9:94411014-94444105_2::NA::NA	0.5176705
mirna.prom::chr1:224616474-224622613_3::NA::NA	0.780829269
mirna.prom::chr5:148786327-148786440_1::NA::NA	0.24287725
mirna.prom::chr3:37989987-37990387_1::NA::NA	0.996523416
mirna.prom::chrX:151142940-151142943_1::NA::NA	1
mirna.prom::chr1:1233366-1233743_2::NA::NA	1
mirna.prom::chrX:133680202-133680550_2::NA::NA	1
mirna.prom::chr2:240904417-240906048_2::NA::NA	0.6970733188
mirna.prom::chr10:69172349-69172749_1::NA::NA	0.032739017
mirna.prom::chr17:27207637-27209584_2::NA::NA	0.1371464
mirna.prom::chr2:185195710-185196110_1::NA::NA	0.99026784
mirna.prom::chr3:31224142-31224192_1::NA::NA	0.01180231
mirna.prom::chr1:167958220-167958620_1::NA::NA	0.5887634928
mirna.prom::chr19:49486786-49489100_3::NA::NA	0.64220949
mirna.prom::chr19:13976535-13984307_2::NA::NA	0.84071568
mirna.prom::chr3:96073722-96073955_1::NA::NA	0.2881010722
mirna.prom::chr20:34042365-34056825_3::NA::NA	1
mirna.prom::chr21:17918629-17965844_5::NA::NA	0.97841818
mirna.prom::chr4:113569775-113570046_2::NA::NA	0.61444363
mirna.prom::chr3:49058242-49058243_1::NA::NA	1
mirna.prom::chr2:28172254-28172654_1::NA::NA	1
mirna.prom::chr19:52192420-52192820_1::NA::NA	0.88747371
mirna.prom::chr9:35605160-35605166_1::NA::NA	1
mirna.prom::chr10:30687792-30692125_2::NA::NA	0.21967103
mirna.prom::chr2:6072706-6087084_3::NA::NA	0.727133
mirna.prom::chr17:43013342-43013393_1::NA::NA	1
mirna.prom::chr5:1518245-1518645_1::NA::NA	0.6914503601
mirna.prom::chr14:23862286-23904727_4::NA::NA	0.9665322
mirna.prom::chr15:72873338-72873472_1::NA::NA	1
mirna.prom::chr9:139716696-139717096_1::NA::NA	0.760728607
mirna.prom::chr19:45894977-45932220_4::NA::NA	0.9696791
mirna.prom::chr16:24192255-24192539_1::NA::NA	0.713271776
mirna.prom::chr8:142913072-142913472_1::NA::NA	0.4902477
mirna.prom::chr2:128181194-128181515_1::NA::NA	1
mirna.prom::chr9:28879882-28880282_1::NA::NA	0.332126034
