id	p	q	method	tumor
gc19_pc.cds::gencode::BTG2::ENSG00000159388.5	5.9281388229408396e-05	0.04759307451684337	ncdDetect	All_cancers
gc19_pc.cds::gencode::HIST2H2BF::ENSG00000203814.5	3.7201102984994797e-06	0.004216416778322823	ncdDetect	All_cancers
gc19_pc.cds::gencode::HIST2H3D::ENSG00000183598.3	7.31231287169901e-10	1.174113703432471e-06	ncdDetect	All_cancers
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	3.4757831880840503e-17	9.567341495429068e-14	ncdDetect	All_cancers
gc19_pc.cds::gencode::WI2-3308P17.2::ENSG00000239810.2	0.000107904928122004	0.07498481444250044	ncdDetect	All_cancers
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	6.89584124025193e-22	2.2144844836195698e-18	ncdDetect	All_cancers
gc19_pc.cds::gencode::MUC5AC::ENSG00000215182.6	2.3038155869227697e-05	0.021138056537537107	ncdDetect	All_cancers
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	3.681202145978428e-252	3.5464701474356176e-248	ncdDetect	All_cancers
gc19_pc.cds::gencode::B2M::ENSG00000166710.13	1.06433132269268e-09	1.577502763510966e-06	ncdDetect	All_cancers
gc19_pc.cds::gencode::SOCS1::ENSG00000185338.4	8.734486111500341e-05	0.0663150363438815	ncdDetect	All_cancers
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	0.0	0.0	ncdDetect	All_cancers
gc19_pc.cds::gencode::BCL2::ENSG00000171791.10	1.4205167955146198e-15	3.0411686239972992e-12	ncdDetect	All_cancers
gc19_pc.cds::gencode::RP11-723G8.2::ENSG00000265352.1	0.000148160414325644	0.0984398228698796	ncdDetect	All_cancers
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	1.01697153390335e-14	1.959500751524975e-11	ncdDetect	All_cancers
gc19_pc.cds::gencode::OR2Z1::ENSG00000181733.2	4.31802359131331e-05	0.03781803570792039	ncdDetect	All_cancers
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	5.61272443700004e-06	0.0060081096917842655	ncdDetect	All_cancers
gc19_pc.cds::gencode::ZNF831::ENSG00000124203.5	5.2034754808387895e-05	0.043591550245566005	ncdDetect	All_cancers
gc19_pc.cds::gencode::IGLL5::ENSG00000254709.2	8.48526851889645e-31	5.4498051274032264e-27	ncdDetect	All_cancers
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	7.92615510847552e-27	3.8180289157526574e-23	ncdDetect	All_cancers
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	2.3466004719180195e-22	9.04285957858328e-19	ncdDetect	All_cancers
gc19_pc.cds::gencode::VHL::ENSG00000134086.7	3.1701627186314903e-12	5.552972296599233e-09	ncdDetect	All_cancers
gc19_pc.cds::gencode::ZNF595::ENSG00000197701.7	2.00535428910523e-05	0.019319583221239785	ncdDetect	All_cancers
gc19_pc.cds::gencode::SPINK13::ENSG00000214510.5	8.948468678331529e-05	0.0663150363438815	ncdDetect	All_cancers
gc19_pc.cds::gencode::HIST1H1E::ENSG00000168298.4	1.33149475843885e-05	0.013502758423999874	ncdDetect	All_cancers
gc19_pc.cds::gencode::PIM1::ENSG00000137193.9	5.11062197289261e-09	7.033676012406772e-06	ncdDetect	All_cancers
gc19_pc.cds::gencode::ACTB::ENSG00000075624.9	0.000108966929852087	0.07498481444250044	ncdDetect	All_cancers
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	8.177690031752849e-07	0.0010504515435454259	ncdDetect	All_cancers
gc19_pc.cds::gencode::MYC::ENSG00000136997.10	1.18178556961557e-06	0.0014231652722095501	ncdDetect	All_cancers
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	7.971189419790691e-17	1.919860971756588e-13	ncdDetect	All_cancers
gc19_pc.cds::gencode::BTG2::ENSG00000159388.5	3.05925880878983e-06	0.003467399925162497	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::HIST2H2BF::ENSG00000203814.5	6.80047162356642e-06	0.007279527069048766	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::HIST2H3D::ENSG00000183598.3	2.79182450059606e-11	4.1379134213449906e-08	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	2.20954423169744e-05	0.020273094407783937	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	1.36892120381917e-22	4.396062292531295e-19	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::MUC5AC::ENSG00000215182.6	3.12326779578339e-05	0.027354147222342886	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::BTG1::ENSG00000133639.3	4.42240321965124e-05	0.03449928433695625	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	3.1055538083076885e-267	2.9918905389236268e-263	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::B2M::ENSG00000166710.13	1.94939958621383e-11	3.13008593559734e-08	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::SOCS1::ENSG00000185338.4	7.5257935265498095e-06	0.007631946824713774	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::SPOP::ENSG00000121067.13	3.81559461462385e-05	0.03196472914546624	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	0.0	0.0	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::BCL2::ENSG00000171791.10	1.27239824997025e-19	3.5023670686323966e-16	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::RP11-723G8.2::ENSG00000265352.1	0.000120167530314551	0.08269242764645601	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	1.55963367130603e-19	3.756377697340573e-16	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	6.218773699644561e-05	0.04608589678644284	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	3.11451864941277e-07	0.00040007030224590163	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::IGLL5::ENSG00000254709.2	9.082464613192449e-39	5.83336427223307e-35	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	1.38049876180213e-34	6.64986253560086e-31	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1.6121347873749199e-32	6.212522616627991e-29	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::VHL::ENSG00000134086.7	4.23404362380722e-14	9.064616949279724e-11	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::ZNF595::ENSG00000197701.7	7.06367044904417e-05	0.05040844526377151	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::HIST1H1C::ENSG00000187837.2	4.47624096130323e-05	0.03449928433695625	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::HIST1H1E::ENSG00000168298.4	1.1499477268197999e-06	0.001384824550022744	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::PIM1::ENSG00000137193.9	1.12113892475636e-11	1.963827709291413e-08	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::SGK1::ENSG00000118515.7	0.000130094588942211	0.08643663930132833	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::ACTB::ENSG00000075624.9	1.12156350247167e-05	0.010805142782812069	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::MYC::ENSG00000136997.10	1.8368108759224497e-08	2.527976568376697e-05	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	6.355168235697659e-13	1.224513815654225e-09	ncdDetect	All_cancers_no_Skin-Melanoma
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	4.91583123243806e-07	0.004735420226207584	ncdDetect	Biliary-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.36731227761653e-12	2.634263834056007e-08	ncdDetect	Biliary-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	7.70766649971248e-11	1.4849590278346064e-06	ncdDetect	Bladder-TCC
gc19_pc.cds::gencode::FGFR3::ENSG00000068078.13	1.1008791022443998e-06	0.010604768391920304	ncdDetect	Bladder-TCC
gc19_pc.cds::gencode::H3F3A::ENSG00000163041.5	6.63294094311005e-08	0.0006389512010497912	ncdDetect	Bone-Cart
gc19_pc.cds::gencode::H3F3B::ENSG00000132475.4	6.85510536929292e-15	1.320704600447974e-10	ncdDetect	Bone-Cart
gc19_pc.cds::gencode::METTL21B::ENSG00000123427.11	5.19828477604217e-06	0.033383384831742816	ncdDetect	Bone-Leiomyo
gc19_pc.cds::gencode::RPL41::ENSG00000229117.4	8.885517183129292e-07	0.008559418702508446	ncdDetect	Bone-Leiomyo
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	5.330160230431301e-09	0.00010269086699948945	ncdDetect	Bone-Leiomyo
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	8.91805611760517e-20	1.7180635110566361e-15	ncdDetect	Bone-Osteosarc
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	1.48962846985595e-05	0.06580506418939851	ncdDetect	Breast-AdenoCA
gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	1.7078029738762198e-05	0.06580506418939851	ncdDetect	Breast-AdenoCA
gc19_pc.cds::gencode::CBFB::ENSG00000067955.9	4.690371325022029e-09	3.012156464929147e-05	ncdDetect	Breast-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	7.123019459106587e-97	1.3723209289914751e-92	ncdDetect	Breast-AdenoCA
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1.0318414171624598e-44	9.939728371525974e-41	ncdDetect	Breast-AdenoCA
gc19_pc.cds::gencode::PTGS2::ENSG00000073756.7	1.8989331520106896e-05	0.07316969221327589	ncdDetect	Breast-LobularCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	2.7049393487636103e-08	0.0005211336149327972	ncdDetect	Breast-LobularCA
gc19_pc.cds::gencode::MAP4K4::ENSG00000071054.11	7.61570113987157e-06	0.03668102454019142	ncdDetect	Breast-LobularCA
gc19_pc.cds::gencode::CHRNA4::ENSG00000101204.11	7.28283699466769e-06	0.03668102454019142	ncdDetect	Breast-LobularCA
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	2.557630528843e-06	0.02463765488434462	ncdDetect	Breast-LobularCA
gc19_pc.cds::gencode::RP11-770J1.5::ENSG00000254873.1	1.53423931345242e-05	0.09852373457886957	ncdDetect	Cervix-AdenoCA
gc19_pc.cds::gencode::CCL23::ENSG00000167236.2	1.34250236968207e-07	0.002586330815192508	ncdDetect	Cervix-AdenoCA
gc19_pc.cds::gencode::FBXW7::ENSG00000109670.9	2.53019956893528e-06	0.024372147347769085	ncdDetect	Cervix-AdenoCA
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	3.2103865879785495e-08	0.00020617102667998244	ncdDetect	CNS-GBM
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	2.5074443827330496e-15	2.415421173886747e-11	ncdDetect	CNS-GBM
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	1.75264240483663e-05	0.0844160214289563	ncdDetect	CNS-GBM
gc19_pc.cds::gencode::EGFR::ENSG00000146648.11	2.72693398475453e-23	5.253711015028078e-19	ncdDetect	CNS-GBM
gc19_pc.cds::gencode::LDB1::ENSG00000198728.6	4.71123445568672e-06	0.030255547674420114	ncdDetect	CNS-Medullo
gc19_pc.cds::gencode::PRKAR1A::ENSG00000108946.10	5.71116405672807e-09	5.5015643358461504e-05	ncdDetect	CNS-Medullo
gc19_pc.cds::gencode::SMO::ENSG00000128602.5	2.41914929347477e-10	4.660733028808492e-06	ncdDetect	CNS-Medullo
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	5.247389239465831e-16	5.054547684915462e-12	ncdDetect	CNS-Oligo
gc19_pc.cds::gencode::CIC::ENSG00000079432.3	2.49471562826682e-09	1.6020232192853427e-05	ncdDetect	CNS-Oligo
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	3.0771575182236196e-31	5.9281439588578034e-27	ncdDetect	CNS-Oligo
gc19_pc.cds::gencode::ITLN1::ENSG00000179914.4	1.33764355101485e-05	0.0515420813077042	ncdDetect	CNS-PiloAstro
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	2.46180231559778e-11	2.3714541706153417e-07	ncdDetect	CNS-PiloAstro
gc19_pc.cds::gencode::PTPN11::ENSG00000179295.11	6.30917438968558e-06	0.0303881384479206	ncdDetect	CNS-PiloAstro
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	6.830527884500551e-09	4.3865650074262535e-05	ncdDetect	CNS-PiloAstro
gc19_pc.cds::gencode::FGFR1::ENSG00000077782.15	1.00467333816994e-14	1.9356036533182066e-10	ncdDetect	CNS-PiloAstro
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	3.9459769336765e-29	7.6023191604211455e-25	ncdDetect	ColoRect-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	8.66740332543775e-25	8.349309623394186e-21	ncdDetect	ColoRect-AdenoCA
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	6.8130530451854205e-06	0.04375342665618077	ncdDetect	ColoRect-AdenoCA
gc19_pc.cds::gencode::KLF17::ENSG00000171872.4	9.67729051358297e-07	0.004660825043604398	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::NXPE4::ENSG00000137634.5	7.27990493953983e-06	0.02337456144337247	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::OR4C15::ENSG00000181939.2	2.03676769873225e-06	0.00784766594321536	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::PCDH9::ENSG00000184226.10	3.11433057996938e-05	0.085710826604443	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	4.5305992533762993e-97	8.728199461629441e-93	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	4.62571068422954e-09	3.182443064757082e-05	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	4.95578987504347e-09	3.182443064757082e-05	ncdDetect	Eso-AdenoCA
gc19_pc.cds::gencode::PA2G4::ENSG00000170515.9	4.16535789930653e-06	0.020061404982535076	ncdDetect	Head-SCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	3.2797088847471897e-35	6.318359166465461e-31	ncdDetect	Head-SCC
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	4.13256257101272e-08	0.00026537939310186686	ncdDetect	Head-SCC
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	4.62630551622557e-10	4.456288788504281e-06	ncdDetect	Head-SCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.50148224149229e-10	2.8927556864590457e-06	ncdDetect	Kidney-ChRCC
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14	5.817845955239561e-10	5.6043310086822695e-06	ncdDetect	Kidney-RCC
gc19_pc.cds::gencode::VHL::ENSG00000134086.7	3.1213039146001293e-56	6.01350412186861e-52	ncdDetect	Kidney-RCC
gc19_pc.cds::gencode::KRTAP5-11::ENSG00000204571.4	1.4811943610955e-05	0.07134172640216475	ncdDetect	Liver-HCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	5.494525292901738e-93	1.0585752429304489e-88	ncdDetect	Liver-HCC
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	8.52467489737519e-08	0.0005474546219094347	ncdDetect	Liver-HCC
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	1.3214455991607399e-71	1.2729485456715408e-67	ncdDetect	Liver-HCC
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	1.35623769006721e-08	0.00013063959549572401	ncdDetect	Lung-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	4.16105685057084e-13	8.016276022624724e-09	ncdDetect	Lung-AdenoCA
gc19_pc.cds::gencode::KEAP1::ENSG00000079999.9	1.58721171048856e-05	0.09454185889085678	ncdDetect	Lung-AdenoCA
gc19_pc.cds::gencode::DDRGK1::ENSG00000198171.8	1.9629765666411998e-05	0.09454185889085678	ncdDetect	Lung-AdenoCA
gc19_pc.cds::gencode::OR4A15::ENSG00000181958.3	7.824303836025709e-06	0.0502476792349571	ncdDetect	Lung-SCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.08966692690543e-41	2.0993523013760015e-37	ncdDetect	Lung-SCC
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	3.4230814016857e-20	3.297454314243835e-16	ncdDetect	Lung-SCC
gc19_pc.cds::gencode::AMY2A::ENSG00000243480.3	2.51978251520844e-05	0.0053940144375562	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13	3.27653153365402e-06	0.0008416754203650446	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::BTG2::ENSG00000159388.5	2.6837451494005104e-17	3.041472591079425e-14	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST2H2AC::ENSG00000184260.4	5.70611592471276e-05	0.011333405093352168	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST2H2BE::ENSG00000184678.8	5.845895575392151e-10	3.312559533985446e-07	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST2H2BF::ENSG00000203814.5	1.13036143571359e-06	0.0003202579914773239	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST2H3D::ENSG00000183598.3	1.0835417073823099e-18	1.304719658401724e-15	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST3H2BB::ENSG00000196890.3	0.00051946655750182	0.077581726332016	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HNRNPU::ENSG00000153187.12	0.000638231276541099	0.09100453061000646	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::ID3::ENSG00000117318.8	8.25682975694647e-19	1.0605072139822046e-15	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::IRF2BP2::ENSG00000168264.6	0.000312439898907263	0.051448436686729306	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::ITPKB::ENSG00000143772.5	8.335781058336022e-09	3.204058071987003e-06	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::KLHL21::ENSG00000162413.12	8.46164080218606e-10	4.6081043941106383e-07	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::MCL1::ENSG00000143384.8	3.9337800143566204e-10	2.3683814298935828e-07	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::NOL9::ENSG00000162408.10	1.2013785699016001e-14	1.1021790251297252e-11	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::RGS1::ENSG00000090104.7	0.00032146310749542204	0.05248566295768475	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::RRAGC::ENSG00000116954.7	1.1425980423021498e-08	4.153451676036457e-06	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::TNFRSF14::ENSG00000157873.13	7.36464837774558e-14	6.44942343843847e-11	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	8.870445665989559e-05	0.016754706490289692	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::CTSC::ENSG00000109861.11	0.000625091903014883	0.0905490270938702	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::EHD1::ENSG00000110047.13	0.000544138429497195	0.08012336395083942	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::ETS1::ENSG00000134954.10	0.000113196724578726	0.020574038638997504	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::BTG1::ENSG00000133639.3	3.4436639965856796e-25	7.371736728691078e-22	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::CD27::ENSG00000139193.3	9.710825864018301e-06	0.0022272472749544836	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::DTX1::ENSG00000135144.3	1.9849711538376e-12	1.529698169993408e-09	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HIST4H4::ENSG00000197837.3	9.544075862327061e-08	3.064602759393219e-05	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::HOXC13::ENSG00000123364.3	0.000634696420163891	0.09100453061000646	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::KMT2D::ENSG00000167548.10	6.7117321382129805e-09	2.7713560724920738e-06	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::STAT6::ENSG00000166888.6	4.33986430315102e-15	4.180591283225377e-12	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::FOXO1::ENSG00000150907.6	8.84978005720407e-10	4.6081043941106383e-07	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::NFKBIA::ENSG00000100906.6	9.58392881981092e-06	0.002224626176415388	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::TCL1A::ENSG00000100721.6	2.19965674461775e-05	0.004761638970989391	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::ZFP36L1::ENSG00000185650.8	2.3714266119743103e-10	1.522930170209902e-07	ncdDetect	Lymph-BNHL
gc19_pc.cds::gencode::B2M::ENSG00000166710.13	1.70410552817438e-23	2.984663373255237e-20	ncdDetect	Lymph-BNHL
