binID	length	nMut	nSample	BGMR	p.raw	q.raw	CADD	p.CADD	q.CADD	EIGEN_CODING	p.EIGEN_CODING	q.EIGEN_CODING	p.min	q.min
gc19_pc.cds::gencode::PTCH1::ENSG00000185920.11	4544	22	19	8.549609183124431e-07	1.4434300114857876e-24	3.3805130868997144e-21	32.449999999999996	1.0996116417809003e-24	2.5752904650508686e-21	11.38917	1.206436153824377e-28	2.825473472256691e-25	1.206436153824377e-28	2.825473472256691e-25
gc19_pc.cds::gencode::DDX3X::ENSG00000215301.5	2165	18	16	1.2096013241971162e-06	4.0316999932301845e-21	4.721120692072546e-18	28.591666666666672	2.344707914868625e-20	2.74565296831116e-17	NA	1.0	1.0	2.344707914868625e-20	2.74565296831116e-17
gc19_pc.cds::gencode::CTDNEP1::ENSG00000175826.7	736	5	5	1.02372880803531e-06	1.0322572011919373e-07	8.058487883971723e-05	33.04	8.821547598972248e-08	6.886688158931002e-05	15.1329235	2.377410578757597e-09	2.783947787725146e-06	2.377410578757597e-09	1.8559651918167642e-06
gc19_pc.cds::gencode::KMT2D::ENSG00000167548.10	16662	15	12	9.490060095506555e-07	6.895681397922316e-07	0.0003229937166786813	33.29066666666667	4.4646009477858174e-07	0.0002091219083942877	10.967727666666667	4.599685725680158e-09	3.590821323180976e-06	4.599685725680158e-09	2.6931159923857325e-06
gc19_pc.cds::gencode::SMO::ENSG00000128602.5	2364	8	7	1.1227955598529784e-06	1.471881651301362e-07	8.617867068369475e-05	27.168750000000003	4.3681065479464316e-07	0.0002091219083942877	9.874322625	1.5303928353126927e-08	8.960450050755815e-06	1.5303928353126927e-08	7.1683600406046525e-06
gc19_pc.cds::gencode::PRKAR1A::ENSG00000108946.10	1266	6	4	1.0149607582528438e-06	3.885336831251522e-05	0.011374323573488831	31.13333333333333	4.3190154934623045e-05	0.014450191836698168	16.610251666666667	1.3713210241879095e-06	0.0006423267677296169	1.3713210241879095e-06	0.0005352723064413474
gc19_pc.cds::gencode::LDB1::ENSG00000198728.6	1236	4	4	7.812684709166776e-07	1.28448496836605e-05	0.004297519708447556	36.75	7.488373756443635e-06	0.0029229618895984986	11.7610245	1.7336869116588625e-06	0.0006767157911841759	1.7336869116588625e-06	0.0005800421067292937
gc19_pc.cds::gencode::KBTBD4::ENSG00000123444.9	1794	7	6	1.5988076067010946e-06	4.3020858254151304e-06	0.0016792475005203726	19.860000000000003	6.103576499606405e-05	0.01786822020259775	5.667421	1.4676808999683953e-05	0.00491044095389426	1.4676808999683953e-05	0.004296635834657477
gc19_pc.cds::gencode::GSE1::ENSG00000131149.13	3782	4	4	1.4926717435954313e-06	0.00892670253668244	0.7332626254975472	39.5	0.004325849813468891	0.65652504540106	30.291690000000006	4.237228716267751e-05	0.01240448706687384	4.237228716267751e-05	0.01102621072611008
gc19_pc.cds::gencode::TBR1::ENSG00000136535.10	2049	4	4	1.8213341066845912e-06	0.002104827533973897	0.3791927757359128	27.447499999999998	0.0036315106163950337	0.6182333104440243	18.99689	5.189959497694951e-05	0.013505427937335083	5.189959497694951e-05	0.012154885143601576
gc19_pc.cds::gencode::BRPF1::ENSG00000156983.11	3663	4	4	9.385878591818094e-07	0.0015663298609181052	0.3334858667518366	37.5	0.0008783665335571728	0.22857049128787763	13.393722	0.00014426551289627157	0.033786983120306806	0.00014426551289627157	0.030715439200278912
gc19_pc.cds::gencode::SMARCA4::ENSG00000127616.13	5058	6	5	1.0557788305310196e-06	0.0010832077272282517	0.261165610532027	30.349999999999998	0.001365036843882382	0.3196916288372539	10.608595333333334	0.0001728981436120158	0.036811586576303734	0.0001728981436120158	0.03374395436161175
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	2346	3	3	7.293023533744241e-07	0.0019548439069783613	0.3791927757359128	26.866666666666664	0.003192345778999853	0.6182333104440243	11.998249999999999	0.0004272688849301335	0.08338864404219772	0.0004272688849301335	0.07697413296202867
gc19_pc.cds::gencode::KDM6A::ENSG00000147050.10	4469	5	5	1.5725122396416876e-06	0.003522003032224933	0.5155331938419245	36.62	0.0019865961966058685	0.4229643902228131	NA	1.0	1.0	0.0019865961966058685	0.332329163746496
gc19_pc.cds::gencode::CREBBP::ENSG00000005339.8	7363	4	4	9.266315882606339e-07	0.016746900790115742	0.7332626254975472	30.125	0.020359693861232257	1.0	12.6029175	0.002282934190733119	0.4112793749766896	0.002282934190733119	0.3564421249797976
gc19_pc.cds::gencode::KMT2C::ENSG00000055609.13	14871	7	7	1.2834868597165498e-06	0.020253910044975145	0.7332626254975472	37.371428571428574	0.009453257943394208	1.0	10.389440200000001	0.002783765642399191	0.46568422389277897	0.002783765642399191	0.40747369590618154
gc19_pc.cds::gencode::TCF4::ENSG00000196628.9	3031	4	4	1.7920127816109327e-06	0.007831272789215485	0.7332626254975472	39.75	0.003695673076949761	0.6182333104440243	8.16989	0.004716481671385586	0.6497647102579437	0.003695673076949761	0.4808481303453522
gc19_pc.cds::gencode::PMVK::ENSG00000163344.5	579	2	2	9.82384481024223e-07	0.0030491649339405894	0.5100817339492043	23.765	0.005427784291495709	0.7477571065107619	6.457957	0.003617812060143921	0.5648610563238041	0.003617812060143921	0.4808481303453522
gc19_pc.cds::gencode::FBXW7::ENSG00000109670.9	2618	4	3	1.494154419937034e-06	0.018599502972244504	0.7332626254975472	34.675	0.015079162346696063	1.0	12.072758	0.004384995033500668	0.6418536480286603	0.004384995033500668	0.5252200363208481
gc19_pc.cds::gencode::ZIC1::ENSG00000152977.5	1392	3	3	1.5928058914806553e-06	0.004035422102628919	0.529557874402074	30.8	0.004485226612475218	0.65652504540106	3.5873865	0.024572927096419235	1.0	0.004485226612475218	0.5252200363208481
gc19_pc.cds::gencode::BIRC3::ENSG00000023445.9	1938	3	3	2.249442629959238e-06	0.02458995343161054	0.7332626254975472	18.563	0.09158760142360069	1.0	12.6141155	0.005237645170895429	0.6814758327909497	0.005237645170895429	0.5841221423922426
gc19_pc.cds::gencode::ITFG3::ENSG00000167930.11	2149	4	4	1.4571070872284064e-06	0.0011151392422375193	0.261165610532027	18.817999999999998	0.007318633016797329	0.9522354736299635	3.0321949666666668	0.02067405680002187	1.0	0.007318633016797329	0.7791017511517885
