chromosome	start	end	total_cn	major_cn	minor_cn	star
1	790503	26898223	2	1	1	2
1	26898224	26905969	2	1	1	2
1	26905970	27027057	2	1	1	2
1	27027058	27280865	2	1	1	2
1	27280866	27284290	2	1	1	2
1	27284291	28391167	2	1	1	2
1	28391168	28428387	1	1	0	2
1	28428388	28431829	1	1	0	2
1	28431830	28654786	2	1	1	2
1	28654787	28658116	2	1	1	2
1	28658117	28658644	2	1	1	2
1	28658645	28661488	2	1	1	2
1	28661489	30544709	2	1	1	2
1	30544710	31085408	1	1	0	2
1	31085409	31090779	2	1	1	2
1	31090780	32649742	2	1	1	3
1	32649743	32667666	2	1	1	2
1	32667667	118470249	2	1	1	3
1	118470250	118473592	2	1	1	1
1	118473593	121499999	2	1	1	2
1	121500000	128899999	2	1	1	2
1	128900000	144016889	2	1	1	2
1	144016890	152767500	3	2	1	2
1	152767501	152829997	4	3	1	1
1	152829998	157022310	3	2	1	2
1	157022311	157286654	2	2	0	2
1	157286655	157466389	3	2	1	2
1	157466390	157509864	2	2	0	2
1	157509865	157594451	3	2	1	2
1	157594452	157595620	2	2	0	2
1	157595621	157778961	3	2	1	2
1	157778962	158208557	2	2	0	2
1	158208558	158287403	3	2	1	2
1	158287404	158365575	3	2	1	1
1	158365576	158421483	3	2	1	2
1	158421484	158422657	3	2	1	2
1	158422658	158634797	3	2	1	2
1	158634798	158635773	3	2	1	2
1	158635774	158642195	3	2	1	2
1	158642196	158754954	2	2	0	2
1	158754955	160100458	3	2	1	2
1	160100459	162294806	4	3	1	2
1	162294807	163970163	3	2	1	2
1	163970164	166201999	4	3	1	2
1	166202000	166203129	4	3	1	2
1	166203130	166203611	4	3	1	1
1	166203612	167367372	3	2	1	2
1	167367373	174017295	4	3	1	2
1	174017296	176476517	3	2	1	2
1	176476518	215701870	4	3	1	2
1	215701871	215720309	4	3	1	2
1	215720310	215979313	4	3	1	2
1	215979314	215986242	4	3	1	2
1	215986243	217011438	4	3	1	2
1	217011439	217012992	1	1	0	2
1	217012993	217769179	4	3	1	2
1	217769180	217772997	4	3	1	2
1	217772998	219187402	4	3	1	2
1	219187403	219203039	4	3	1	2
1	219203040	219741195	4	3	1	2
1	219741196	219768901	1	1	0	2
1	219768902	220002548	4	3	1	2
1	220002549	220004401	4	3	1	2
1	220004402	220516929	4	3	1	2
1	220516930	220527796	4	3	1	2
1	220527797	220886677	4	3	1	2
1	220886678	220889264	4	3	1	2
1	220889265	220963748	4	3	1	2
1	220963749	221076109	4	3	1	2
1	221076110	240628518	4	3	1	2
1	240628519	240630544	4	3	1	2
1	240630545	242682453	4	3	1	2
1	242682454	242684294	4	3	1	2
1	242684295	242906009	4	3	1	2
1	242906010	242907371	4	3	1	2
1	242907372	249250620	4	3	1	2
2	57995	194557	2	1	1	3
2	194558	194645	2	1	1	2
2	194646	197284	2	1	1	2
2	197285	247098	3	2	1	2
2	247099	247134	3	2	1	2
2	247135	8162086	3	2	1	3
2	8162087	8169624	3	2	1	2
2	8169625	8225397	3	2	1	2
2	8225398	8226150	3	2	1	2
2	8226151	8372476	3	2	1	2
2	8372477	8986875	2	1	1	2
2	8986876	9057667	2	1	1	3
2	9057668	9269512	3	2	1	3
2	9269513	9293446	3	2	1	2
2	9293447	9503316	2	1	1	2
2	9503317	11040703	2	1	1	2
