chromosome	start	end	total_cn	major_cn	minor_cn	star
1	10001	807500	4	3	1	1
1	807501	12867165	2	2	0	2
1	12867166	12877500	2	2	0	2
1	12877501	16870420	2	2	0	2
1	16870421	65020367	2	2	0	2
1	65020368	91315275	4	2	2	3
1	91315276	91319600	4	2	2	2
1	91319601	94823755	4	2	2	2
1	94823756	94839620	5	3	2	1
1	94839621	100947952	4	2	2	2
1	100947953	103231983	4	2	2	3
1	103231984	103277985	4	2	2	2
1	103277986	119869384	4	2	2	2
1	119869385	121499999	4	2	2	2
1	121500000	128899999	4	2	2	2
1	128900000	143394938	4	2	2	2
1	143394939	247247500	4	2	2	2
1	247247501	249250620	4	2	2	2
2	20016	32606135	3	2	1	2
2	32606136	32607720	3	2	1	2
2	32607721	90499999	3	2	1	2
2	90500000	96799999	3	2	1	3
2	96800000	100511151	3	2	1	2
2	100511152	100511830	3	2	1	2
2	100511831	160227697	3	2	1	2
2	160227698	160439078	1	1	0	2
2	160439079	169079088	3	2	1	2
2	169079089	169132549	2	2	0	2
2	169132550	242983145	3	2	1	2
3	62226	87899999	3	2	1	3
3	87900000	93899999	3	2	1	3
3	93900000	197847500	3	2	1	3
4	22303	48199999	5	3	2	2
4	48200000	52699999	NA	NA	NA	NA
4	52700000	64499933	2	2	0	2
4	64499934	70119945	2	2	0	2
4	70119946	161877500	2	2	0	2
4	161877501	161900094	5	5	0	1
4	161900095	191154275	2	2	0	2
5	22500	380605	4	2	2	2
5	380606	2852499	4	2	2	2
5	2852500	32165914	5	3	2	2
5	32165915	32192758	5	3	2	2
5	32192759	43287249	5	3	2	2
5	43287250	43289100	5	3	2	2
5	43289101	46099999	5	3	2	2
5	46100000	50699999	5	3	2	2
5	50700000	76871717	5	3	2	2
5	76871718	76872615	5	3	2	2
5	76872616	88430842	5	3	2	2
5	88430843	88755264	4	2	2	2
5	88755265	127702347	5	3	2	2
5	127702348	127831616	7	5	2	2
5	127831617	136252931	5	3	2	2
5	136252932	136254282	5	3	2	2
5	136254283	147964236	5	3	2	2
5	147964237	147965843	6	4	2	1
5	147965844	180715810	5	3	2	2
6	39681	204071	3	2	1	1
6	204072	385078	4	2	2	2
6	385079	58699999	4	2	2	2
6	58700000	63899640	NA	NA	NA	NA
6	63899641	63944473	3	3	0	2
6	63944474	64022383	2	2	0	2
6	64022384	69702190	5	3	2	2
6	69702191	69707222	5	3	2	2
6	69707223	103767355	2	2	0	2
6	103767356	171115066	2	2	0	2
7	52500	57999999	4	4	0	2
7	58000000	61699999	4	4	0	2
7	61700000	143920601	4	4	0	2
7	143920602	151260697	6	6	0	2
7	151260698	158821400	3	3	0	2
8	10001	172499	2	2	0	2
8	172500	3232360	2	2	0	3
8	3232361	3576382	0	0	0	2
8	3576383	34540636	2	2	0	3
8	34540637	43017040	4	2	2	2
8	43017041	48099999	4	2	2	2
8	48100000	48307317	4	2	2	2
8	48307318	48317977	4	2	2	2
8	48317978	48363333	4	2	2	2
8	48363334	48444567	4	2	2	2
8	48444568	48881588	4	2	2	2
8	48881589	52817746	6	4	2	2
8	52817747	52915235	6	4	2	2
8	52915236	52922182	6	4	2	2
8	52922183	53290808	6	4	2	2
8	53290809	53295915	6	4	2	2
8	53295916	56904504	6	4	2	2
8	56904505	56930697	2	2	0	2
8	56930698	57284273	6	4	2	2
8	57284274	57569941	10	8	2	2
8	57569942	93287715	6	4	2	2
8	93287716	146364021	6	4	2	2
9	47500	198570	2	2	0	2
9	198571	25389974	2	2	0	2
9	25389975	26135731	4	2	2	2
9	26135732	26547153	4	2	2	2
9	26547154	32390195	3	2	1	2
9	32390196	32519208	4	2	2	2
9	32519209	44059813	4	2	2	2
9	44059814	44744265	3	2	1	1
9	44744266	45144202	2	2	0	2
9	45144203	47299999	3	3	0	1
9	47300000	50699999	NA	NA	NA	NA
9	50700000	68138001	3	2	1	2
9	68138002	68463401	2	2	0	2
9	68463402	79761096	3	2	1	2
9	79761097	79762551	3	2	1	2
9	79762552	140273200	3	2	1	2
9	140273201	141019790	3	2	1	2
10	96434	4992500	3	2	1	3
10	4992501	9949909	3	2	1	3
10	9949910	9964775	2	1	1	2
10	9964776	30090618	3	2	1	2
10	30090619	30109451	4	3	1	2
10	30109452	37999999	3	2	1	2
10	38000000	42397801	3	2	1	2
10	42397802	135389924	3	2	1	3
11	20721	202294	3	2	1	2
11	202295	51599999	3	2	1	2
11	51600000	55699999	3	2	1	2
11	55700000	132048236	3	2	1	2
11	132048237	132074303	4	2	2	1
11	132074304	134452200	5	3	2	2
12	110107	33299999	3	2	1	2
12	33300000	38199999	3	2	1	2
12	38200000	77021652	3	2	1	2
12	77021653	77023292	3	2	1	2
12	77023293	132349400	3	2	1	2
12	132349401	133851894	3	2	1	2
13	1	16299999	3	2	1	1
13	16300000	19499999	3	2	1	2
13	19500000	46020729	3	2	1	2
13	46020730	46133903	4	3	1	1
13	46133904	64385110	3	2	1	2
13	64385111	105887471	5	3	2	2
13	105887472	105927342	5	3	2	2
13	105927343	114142800	5	3	2	2
13	114142801	115169877	5	3	2	3
14	1	16099999	2	1	1	1
14	16100000	19099999	2	1	1	2
14	19100000	24543005	2	1	1	2
14	24543006	24558130	2	1	1	2
14	24558131	35658111	2	1	1	2
14	35658112	36074346	3	2	1	2
14	36074347	50258941	2	1	1	2
14	50258942	50272949	2	1	1	2
14	50272950	106399989	2	1	1	2
15	1	15799999	4	2	2	1
15	15800000	20699999	4	2	2	2
15	20700000	23978591	4	2	2	2
15	23978592	23981204	4	2	2	2
15	23981205	32724312	4	2	2	2
15	32724313	32898801	2	2	0	2
15	32898802	65276349	2	2	0	3
15	65276350	100338800	4	2	2	3
15	100338801	102413911	4	2	2	3
16	88688	21995162	2	2	0	2
16	21995163	32297124	2	2	0	2
16	32297125	33476801	2	2	0	2
16	33476802	34599999	2	2	0	2
16	34600000	38599999	2	2	0	2
16	38600000	46415802	2	2	0	2
16	46415803	88827200	2	2	0	2
16	88827201	90354752	2	2	0	3
17	12500	18275055	2	2	0	2
17	18275056	22199999	3	2	1	2
17	22200000	25799999	3	2	1	2
17	25800000	42200694	3	2	1	2
17	42200695	42212206	3	2	1	1
17	42212207	51463363	3	2	1	2
17	51463364	51463995	3	2	1	2
17	51463996	78774600	3	2	1	2
17	78774601	81195209	3	2	1	2
18	38822	125370	4	2	2	2
18	125371	15399999	4	2	2	3
18	15400000	18999999	4	2	2	2
18	19000000	73711653	4	2	2	3
18	73711654	76117000	2	2	0	3
18	76117001	78077247	2	2	0	2
19	102500	294305	4	2	2	2
19	294306	18654808	3	2	1	2
19	18654809	18682140	5	3	2	2
19	18682141	24399999	5	3	2	2
19	24400000	28599999	NA	NA	NA	NA
19	28600000	58899209	5	3	2	2
20	32139	15754835	4	2	2	2
20	15754836	15838556	6	4	2	2
20	15838557	25599999	4	2	2	2
20	25600000	29399999	4	2	2	2
20	29400000	40732814	4	2	2	2
20	40732815	48699949	5	3	2	2
20	48699950	62432500	7	5	2	2
21	1	9876309	NA	NA	NA	NA
21	9876310	10899999	NA	NA	NA	NA
21	10900000	14299999	3	2	1	2
21	14300000	46940016	3	2	1	2
21	46940017	48129894	2	2	0	2
22	1	12199999	3	2	1	1
22	12200000	17899999	3	2	1	2
22	17900000	49687500	3	2	1	2
22	49687501	51304565	3	2	1	3
X	1	2593635	2	2	0	2
X	2593636	2595728	1	1	0	2
X	2595729	2599644	1	1	0	2
X	2599645	2602359	1	1	0	2
