chromosome	start	end	total_cn	major_cn	minor_cn	star
1	1	68195010	2	1	1	2
1	68195011	113360394	1	1	0	2
1	113360395	121499999	2	1	1	2
1	121500000	128899999	2	1	1	2
1	128900000	143752499	2	1	1	2
1	143752500	178846109	2	1	1	2
1	178846110	178851088	2	1	1	2
1	178851089	191540890	2	1	1	2
1	191540891	191874911	2	1	1	2
1	191874912	247247500	2	1	1	2
1	247247501	249250620	2	1	1	3
2	20016	68073054	2	1	1	2
2	68073055	68272698	2	1	1	2
2	68272699	90499999	2	1	1	2
2	90500000	96799999	2	1	1	2
2	96800000	241665675	2	1	1	2
2	241665676	242389351	1	1	0	3
2	242389352	242985493	2	1	1	3
3	100074	69016556	1	1	0	2
3	69016557	79131153	2	1	1	2
3	79131154	87899999	1	1	0	2
3	87900000	93899999	1	1	0	2
3	93900000	116257666	1	1	0	2
3	116257667	116378411	1	1	0	2
3	116378412	116514097	1	1	0	2
3	116514098	116549112	1	1	0	3
3	116549113	158221011	1	1	0	2
3	158221012	158295442	1	1	0	2
3	158295443	194239504	1	1	0	2
3	194239505	194255696	1	1	0	2
3	194255697	197847500	1	1	0	2
4	27501	48199999	2	1	1	2
4	48200000	52699999	2	1	1	2
4	52700000	84339618	2	1	1	2
4	84339619	131569520	1	1	0	2
4	131569521	131590962	1	1	0	1
4	131590963	152869690	1	1	0	2
4	152869691	153160243	1	1	0	2
4	153160244	153246194	1	1	0	2
4	153246195	153246421	1	1	0	2
4	153246422	153262751	1	1	0	2
4	153262752	153262993	1	1	0	2
4	153262994	153293417	1	1	0	2
4	153293418	153293441	1	1	0	2
4	153293442	153307538	1	1	0	2
4	153307539	153307569	1	1	0	2
4	153307570	160894190	1	1	0	2
4	160894191	188795488	2	1	1	2
4	188795489	188796030	2	1	1	2
4	188796031	188865803	2	1	1	2
4	188865804	188865902	2	1	1	2
4	188865903	188875005	2	1	1	2
4	188875006	188875431	2	1	1	2
4	188875432	188875475	2	1	1	2
4	188875476	188875552	2	1	1	2
4	188875553	188901398	2	1	1	2
4	188901399	188901416	2	1	1	2
4	188901417	188908317	2	1	1	2
4	188908318	188908490	2	1	1	2
4	188908491	188908793	2	1	1	2
4	188908794	188919233	2	1	1	2
4	188919234	188986163	2	1	1	2
4	188986164	189503417	1	1	0	2
4	189503418	191154275	2	1	1	2
5	40199	46099999	1	1	0	2
5	46100000	50699999	1	1	0	2
5	50700000	80006047	1	1	0	2
5	80006048	80012005	1	1	0	2
5	80012006	161031162	1	1	0	2
5	161031163	161032242	1	1	0	2
5	161032243	180689978	1	1	0	2
