chromosome	start	end	total_cn	major_cn	minor_cn	star
1	10001	814077	2	1	1	2
1	814078	79798350	2	1	1	3
1	79798351	79799363	2	1	1	3
1	79799364	121499999	2	1	1	3
1	121500000	128899999	2	1	1	2
1	128900000	143542938	2	1	1	2
1	143542939	144840332	2	1	1	2
1	144840333	145108801	4	3	1	2
1	145108802	145658468	4	3	1	2
1	145658469	146406202	2	1	1	2
1	146406203	147921197	4	3	1	2
1	147921198	149664001	2	1	1	2
1	149664002	247247500	4	3	1	2
1	247247501	249250620	4	3	1	3
2	47281	28058954	2	1	1	3
2	28058955	90499999	3	2	1	2
2	90500000	96799999	3	2	1	2
2	96800000	242991166	3	2	1	2
3	100074	87899999	2	1	1	3
3	87900000	93899999	2	1	1	3
3	93900000	198022429	2	1	1	3
4	27500	22353655	3	2	1	3
4	22353656	22439299	1	1	0	3
4	22439300	48199999	3	2	1	3
4	48200000	52699999	3	2	1	3
4	52700000	70130822	3	2	1	3
4	70130823	101975311	3	2	1	3
4	101975312	102224417	2	2	0	2
4	102224418	191154275	3	2	1	3
5	22500	46099999	3	2	1	2
5	46100000	50699999	3	2	1	2
5	50700000	180710937	3	2	1	2
6	39681	245641	3	2	1	2
6	245642	387499	3	2	1	2
6	387500	13650270	3	2	1	2
6	13650271	13651862	3	2	1	2
6	13651863	58699999	3	2	1	2
6	58700000	63489296	NA	NA	NA	NA
6	63489297	104396805	2	2	0	3
6	104396806	104396824	2	2	0	2
6	104396825	162194471	1	1	0	3
6	162194472	170905598	2	1	1	3
7	40386	57999999	3	2	1	2
7	58000000	61699999	3	2	1	3
7	61700000	71999547	3	2	1	3
7	71999548	72307541	3	2	1	2
7	72307542	82084086	3	2	1	2
7	82084087	82092322	1	1	0	2
7	82092323	158817500	3	2	1	2
8	10001	172499	3	2	1	2
8	172500	43099999	3	2	1	2
8	43100000	48099999	3	2	1	2
8	48100000	143371302	3	2	1	2
8	143371303	143376446	2	2	0	2
8	143376447	146364021	3	2	1	2
9	10001	202003	2	1	1	2
9	202004	4579991	2	1	1	2
9	4579992	4581912	2	1	1	2
9	4581913	47299999	2	1	1	2
9	47300000	50699999	2	1	1	2
9	50700000	140267500	2	1	1	2
10	94083	37999999	2	1	1	2
10	38000000	42299999	2	1	1	2
10	42300000	119157714	2	1	1	3
10	119157715	135389924	2	1	1	3
11	197817	20629942	2	1	1	3
11	20629943	38199937	2	1	1	2
11	38199938	51599999	2	1	1	2
11	51600000	55699999	2	1	1	2
11	55700000	72219988	2	1	1	2
11	72219989	93624787	2	1	1	3
11	93624788	93624817	2	1	1	2
11	93624818	134442500	3	2	1	2
12	110107	33299999	2	1	1	3
12	33300000	38199999	2	1	1	2
12	38200000	132342500	2	1	1	3
12	132342501	133851894	2	1	1	3
13	1	16299999	2	1	1	1
13	16300000	19499999	2	1	1	2
13	19500000	114137500	2	1	1	3
13	114137501	115169877	2	1	1	2
14	1	16099999	2	1	1	1
14	16100000	19099999	2	1	1	2
14	19100000	20452585	2	1	1	3
14	20452586	58816410	2	1	1	3
14	58816411	106362500	1	1	0	3
15	1	15799999	3	2	1	1
15	15800000	20699999	3	2	1	1
15	20700000	100332500	3	2	1	3
15	100332501	102531391	3	2	1	3
16	155320	20884791	2	1	1	3
16	20884792	20894442	2	1	1	2
16	20894443	32817499	2	1	1	3
16	32817500	34599999	2	1	1	2
16	34600000	38599999	2	1	1	3
16	38600000	88822500	2	1	1	2
16	88822501	90354752	2	1	1	3
17	7	16709960	1	1	0	2
17	16709961	22199999	1	1	0	2
17	22200000	25799999	NA	NA	NA	NA
17	25800000	79357479	3	2	1	2
17	79357480	79399553	0	0	0	1
17	79399554	81195209	3	2	1	2
18	27500	131138	2	1	1	2
18	131139	15399999	2	1	1	3
18	15400000	18999999	2	1	1	3
18	19000000	73283016	2	1	1	3
18	73283017	73293139	1	1	0	1
18	73293140	76112500	2	1	1	3
18	76112501	78077247	2	1	1	3
19	102500	268051	2	1	1	2
19	268052	1217559	2	1	1	2
19	1217560	1490026	3	2	1	2
19	1490027	22357499	2	1	1	2
19	22357500	22500032	2	1	1	2
19	22500033	24399999	2	1	1	3
19	24400000	28599999	2	1	1	2
19	28600000	59128982	2	1	1	3
20	29234	25599999	2	1	1	3
20	25600000	29399999	2	1	1	3
20	29400000	62432500	2	1	1	3
21	1	9417499	NA	NA	NA	NA
21	9417500	10899999	NA	NA	NA	NA
21	10900000	14299999	2	1	1	1
21	14300000	46937500	2	1	1	3
21	46937501	48129894	2	1	1	2
22	1	12199999	2	1	1	1
22	12200000	17899999	2	1	1	2
22	17900000	50535603	2	1	1	2
22	50535604	50649954	3	2	1	2
X	1	2700026	1	1	0	3
X	2700027	58099999	1	1	0	3
X	58100000	62999999	1	1	0	3
X	63000000	155270559	1	1	0	3
Y	1	11599999	2	2	0	1
Y	11600000	13748600	NA	NA	NA	NA
Y	13748601	59373565	0	0	0	1
