chromosome	start	end	total_cn	major_cn	minor_cn	star
1	10001	812500	1	1	0	2
1	812501	121499999	1	1	0	2
1	121500000	128899999	1	1	0	2
1	128900000	142548938	1	1	0	2
1	142548939	246735953	1	1	0	2
1	246735954	247247500	1	1	0	2
1	247247501	249250620	1	1	0	3
2	20016	90499999	1	1	0	2
2	90500000	96799999	1	1	0	3
2	96800000	242951000	1	1	0	2
3	100074	87899999	2	1	1	3
3	87900000	93899999	2	1	1	3
3	93900000	198022429	2	1	1	3
4	28196	48199999	2	1	1	3
4	48200000	52699999	2	1	1	3
4	52700000	61651938	2	1	1	3
4	61651939	61652620	2	1	1	3
4	61652621	62334105	2	1	1	3
4	62334106	62334276	2	1	1	3
4	62334277	190799943	2	1	1	3
5	61080	46099999	2	1	1	3
5	46100000	50699999	2	1	1	3
5	50700000	84216961	2	1	1	3
5	84216962	84221505	2	1	1	3
5	84221506	180689978	2	1	1	3
6	249572	387499	1	1	0	2
6	387500	58699999	1	1	0	2
6	58700000	63299999	1	1	0	2
6	63300000	170899934	1	1	0	2
7	40386	57999999	2	1	1	3
7	58000000	61699999	2	1	1	3
7	61700000	158817500	2	1	1	3
8	10001	170011	2	1	1	2
8	170012	43099999	2	1	1	3
8	43100000	48099999	2	1	1	3
8	48100000	146364021	2	1	1	3
9	47500	224323	2	1	1	2
9	224324	43727121	2	1	1	2
9	43727122	44845822	2	1	1	2
9	44845823	47299999	2	1	1	2
9	47300000	50699999	2	1	1	2
9	50700000	140267500	2	1	1	3
10	102500	37999999	1	1	0	3
10	38000000	42299999	1	1	0	2
10	42300000	47542499	1	1	0	3
10	47542500	47755557	1	1	0	2
10	47755558	48948400	1	1	0	2
10	48948401	96414935	1	1	0	2
10	96414936	96649485	0	0	0	2
10	96649486	135389924	1	1	0	2
11	20721	190009	2	1	1	2
11	190010	51599999	2	1	1	2
11	51600000	55699999	2	1	1	2
11	55700000	134442500	2	1	1	2
12	22500	160106	2	1	1	2
12	160107	33299999	2	1	1	3
12	33300000	38199999	2	1	1	2
12	38200000	132342500	2	1	1	3
12	132342501	133851894	2	1	1	3
13	1	16299999	2	1	1	1
13	16300000	19499999	2	1	1	2
13	19500000	114137500	2	1	1	3
13	114137501	115169877	2	1	1	3
14	1	16099999	2	1	1	1
14	16100000	19099999	2	1	1	2
14	19100000	106362500	2	1	1	3
15	1	15799999	2	1	1	1
15	15800000	20699999	2	1	1	2
15	20700000	22778401	2	1	1	2
15	22778402	100332500	2	1	1	3
15	100332501	102531391	2	1	1	3
16	100010	34599999	2	1	1	3
16	34600000	38599999	2	1	1	3
16	38600000	88822500	2	1	1	3
16	88822501	90354752	2	1	1	3
17	1869	22199999	1	1	0	2
17	22200000	25799999	1	1	0	2
17	25800000	78772500	1	1	0	2
17	78772501	81195209	1	1	0	3
18	27500	80030	2	1	1	2
18	80031	15399999	2	1	1	3
18	15400000	18999999	2	1	1	3
18	19000000	76112500	2	1	1	3
18	76112501	78077247	2	1	1	3
19	102500	260136	2	1	1	2
19	260137	24399999	2	1	1	2
19	24400000	28599999	2	1	1	2
19	28600000	59128982	2	1	1	2
20	24347	25599999	2	1	1	3
20	25600000	29399999	2	1	1	3
20	29400000	62432500	2	1	1	3
21	1	10899999	NA	NA	NA	NA
21	10900000	14299999	3	2	1	1
21	14300000	46937500	2	1	1	3
21	46937501	48129894	2	1	1	2
22	1	12199999	2	1	1	1
22	12200000	17899999	2	1	1	2
22	17900000	49687500	2	1	1	2
22	49687501	51304565	2	1	1	3
X	1	58099999	1	1	0	2
X	58100000	62999999	1	1	0	2
X	63000000	154929638	1	1	0	2
