chromosome	start	end	total_cn	major_cn	minor_cn	star
1	1	10326939	4	2	2	2
1	10326940	10603633	4	2	2	2
1	10603634	72940041	4	2	2	2
1	72940042	75667861	3	2	1	3
1	75667862	121499999	4	2	2	2
1	121500000	128899999	4	2	2	2
1	128900000	163320321	4	2	2	2
1	163320322	163322552	4	2	2	2
1	163322553	242969969	4	2	2	2
1	242969970	249250620	5	3	2	3
2	20016	32191550	4	2	2	2
2	32191551	37087096	3	2	1	3
2	37087097	39661122	4	2	2	2
2	39661123	54810474	3	2	1	3
2	54810475	59139992	4	2	2	2
2	59139993	79950583	3	2	1	3
2	79950584	90499999	4	2	2	2
2	90500000	96799999	4	2	2	2
2	96800000	242999968	4	2	2	2
3	100074	87899999	4	2	2	2
3	87900000	93899999	4	2	2	2
3	93900000	197866007	4	2	2	2
4	27500	48199999	4	2	2	2
4	48200000	52699999	4	2	2	2
4	52700000	191154275	4	2	2	2
5	22500	46099999	4	2	2	2
5	46100000	50699999	4	2	2	2
5	50700000	180689978	4	2	2	2
6	202331	53351885	4	2	2	2
6	53351886	53352229	4	2	2	2
6	53352230	58699999	4	2	2	2
6	58700000	63299999	4	2	2	2
6	63300000	65459468	4	2	2	2
6	65459469	90509902	3	2	1	3
6	90509903	91204144	2	2	0	2
6	91204145	170899934	3	2	1	3
7	49992	57999999	4	2	2	2
7	58000000	61699999	4	2	2	2
7	61700000	159138662	4	2	2	2
8	170012	4552987	4	2	2	2
8	4552988	27164422	2	2	0	2
8	27164423	43099999	4	2	2	2
8	43100000	48099999	4	2	2	2
8	48100000	51247855	4	2	2	2
8	51247856	146364021	5	3	2	2
9	10001	200100	4	2	2	1
9	200101	43468645	4	2	2	2
9	43468646	47299999	4	2	2	2
9	47300000	50699999	NA	NA	NA	NA
9	50700000	66486485	4	3	1	2
9	66486486	141019790	4	2	2	2
10	102500	37999999	4	2	2	2
10	38000000	42299999	4	2	2	2
10	42300000	81590974	4	2	2	2
10	81590975	81960565	5	4	1	2
10	81960566	135534746	4	2	2	2
11	197629	51599999	4	2	2	2
11	51600000	55699999	4	2	2	2
11	55700000	95740005	4	2	2	2
11	95740006	135006515	6	4	2	2
12	110107	188284	4	2	2	2
12	188285	33299999	4	2	2	2
12	33300000	38199999	4	2	2	2
12	38200000	133851894	4	2	2	2
13	1	16299999	4	3	1	1
13	16300000	19499999	NA	NA	NA	NA
13	19500000	30356108	4	2	2	2
13	30356109	52977457	2	2	0	2
13	52977458	73447279	4	2	2	2
13	73447280	76072499	3	2	1	3
13	76072500	115169877	4	2	2	2
14	1	16099999	4	3	1	1
14	16100000	19099999	NA	NA	NA	NA
14	19100000	67074374	4	2	2	2
14	67074375	68302310	2	2	0	2
14	68302311	69282466	0	0	0	2
14	69282467	70703070	2	2	0	2
14	70703071	107349539	4	2	2	2
15	1	15799999	4	3	1	1
15	15800000	20699999	NA	NA	NA	NA
15	20700000	102531391	4	2	2	2
16	100010	34599999	4	2	2	2
16	34600000	38599999	4	2	2	2
16	38600000	46447499	4	2	2	2
16	46447500	72115010	4	2	2	2
16	72115011	90354752	3	2	1	3
17	6115	22199999	4	2	2	2
17	22200000	25799999	4	2	2	2
17	25800000	81195209	4	2	2	2
18	75371	15399999	4	2	2	2
18	15400000	18999999	4	2	2	2
18	19000000	78077247	4	2	2	2
19	102500	260136	4	2	2	2
19	260137	24399999	4	2	2	2
19	24400000	28599999	4	2	2	2
19	28600000	59128982	4	2	2	2
20	60479	25599999	4	2	2	2
20	25600000	29399999	4	2	2	2
20	29400000	63025519	4	2	2	2
21	1	9417499	NA	NA	NA	NA
21	9417500	10899999	NA	NA	NA	NA
21	10900000	14299999	4	2	2	2
21	14300000	48129894	4	2	2	2
22	1	12199999	4	3	1	1
22	12200000	17899999	NA	NA	NA	NA
22	17900000	44589887	4	2	2	2
22	44589888	51304565	2	2	0	2
X	1	58099999	2	2	0	1
X	58100000	62999999	2	2	0	1
X	63000000	155270559	2	2	0	1
Y	1	11599999	2	2	0	1
Y	11600000	13399999	2	2	0	1
Y	13400000	59373565	2	2	0	1
