cutoff	positive	true_positive	false_positive	precision	recall	F1
80	108	98	583	0.143906020558003	0.907407407407407	0.248415716096324
81	108	98	513	0.160392798690671	0.907407407407407	0.27260083449235
82	108	98	467	0.173451327433628	0.907407407407407	0.291233283803863
83	108	98	425	0.187380497131931	0.907407407407407	0.310618066561014
84	108	98	379	0.205450733752621	0.907407407407407	0.335042735042735
85	108	98	338	0.224770642201835	0.907407407407407	0.360294117647059
86	108	98	315	0.23728813559322	0.907407407407407	0.376199616122841
87	108	98	277	0.261333333333333	0.907407407407407	0.405797101449275
88	108	98	238	0.291666666666667	0.907407407407407	0.441441441441441
89	108	98	202	0.326666666666667	0.907407407407407	0.480392156862745
90	108	98	177	0.356363636363636	0.907407407407407	0.511749347258486
91	108	98	148	0.398373983739837	0.907407407407407	0.553672316384181
92	108	98	129	0.431718061674009	0.907407407407407	0.585074626865672
93	108	97	99	0.494897959183673	0.898148148148148	0.638157894736842
94	108	95	88	0.519125683060109	0.87962962962963	0.652920962199313
95	108	94	74	0.55952380952381	0.87037037037037	0.681159420289855
96	108	93	56	0.624161073825503	0.861111111111111	0.723735408560311
97	108	90	47	0.656934306569343	0.833333333333333	0.73469387755102
98	108	87	36	0.707317073170732	0.805555555555556	0.753246753246753
99	108	86	24	0.781818181818182	0.796296296296296	0.788990825688073
