cutoff	positive	true_positive	false_positive	precision	recall	F1
80	108	102	458	0.182142857142857	0.944444444444444	0.305389221556886
81	108	102	436	0.189591078066914	0.944444444444444	0.315789473684211
82	108	102	415	0.197292069632495	0.944444444444444	0.3264
83	108	102	389	0.207739307535642	0.944444444444444	0.340567612687813
84	108	102	361	0.220302375809935	0.944444444444444	0.357267950963222
85	108	101	335	0.231651376146789	0.935185185185185	0.371323529411765
86	108	101	312	0.24455205811138	0.935185185185185	0.387715930902111
87	108	101	289	0.258974358974359	0.935185185185185	0.405622489959839
88	108	101	273	0.270053475935829	0.935185185185185	0.419087136929461
89	108	101	257	0.282122905027933	0.935185185185185	0.433476394849785
90	108	101	240	0.296187683284457	0.935185185185185	0.44988864142539
91	108	101	223	0.311728395061728	0.935185185185185	0.467592592592593
92	108	101	189	0.348275862068965	0.935185185185185	0.507537688442211
93	108	101	170	0.372693726937269	0.935185185185185	0.532981530343008
94	108	101	155	0.39453125	0.935185185185185	0.554945054945055
95	108	101	128	0.441048034934498	0.935185185185185	0.599406528189911
96	108	100	116	0.462962962962963	0.925925925925926	0.617283950617284
97	108	100	104	0.490196078431373	0.925925925925926	0.641025641025641
98	108	100	90	0.526315789473684	0.925925925925926	0.671140939597315
99	108	99	68	0.592814371257485	0.916666666666667	0.72
