chr	start	end	element_ID	pvalue
chr17	79477715	79479380	gc19_pc.cds::gencode::ACTG1::ENSG00000184009.5	6.99993000069999e-05
chr9	130705470	130742416	gc19_pc.cds::gencode::FAM102A::ENSG00000167106.7	0.02
chr14	102548048	102605741	gc19_pc.cds::gencode::HSP90AA1::ENSG00000080824.14	0.125
chr7	31792997	32338347	gc19_pc.cds::gencode::PDE1C::ENSG00000154678.12	0.142857142857143
chr22	32870989	32894517	gc19_pc.cds::gencode::FBXO7::ENSG00000100225.13	0.157894736842105
chr3	105377813	105588232	gc19_pc.cds::gencode::CBLB::ENSG00000114423.14	0.166666666666667
chr18	6942077	7117719	gc19_pc.cds::gencode::LAMA1::ENSG00000101680.9	0.166666666666667
chr9	140069393	140082984	gc19_pc.cds::gencode::ANAPC2::ENSG00000176248.7	0.181818181818182
chr11	36614134	36615718	gc19_pc.cds::gencode::RAG2::ENSG00000175097.3	0.2
chr7	5567378	5569439	gc19_pc.cds::gencode::ACTB::ENSG00000075624.9	0.200687993120069
chr3	50264555	50295122	gc19_pc.cds::gencode::GNAI2::ENSG00000114353.12	0.210526315789474
chr3	28454559	28579429	gc19_pc.cds::gencode::ZCWPW2::ENSG00000206559.3	0.25
chr3	184910013	184971810	gc19_pc.cds::gencode::EHHADH::ENSG00000113790.6	0.285714285714286
chr1	196788974	196801129	gc19_pc.cds::gencode::CFHR1::ENSG00000244414.2	0.333333333333333
chr17	48262862	48278874	gc19_pc.cds::gencode::COL1A1::ENSG00000108821.9	0.333333333333333
chr2	212248339	213403254	gc19_pc.cds::gencode::ERBB4::ENSG00000178568.9	0.333333333333333
chr15	91474504	91475770	gc19_pc.cds::gencode::HDDC3::ENSG00000184508.6	0.333333333333333
chr22	21336660	21351637	gc19_pc.cds::gencode::LZTR1::ENSG00000099949.14	0.333333333333333
chr19	1481757	1490345	gc19_pc.cds::gencode::PCSK4::ENSG00000115257.11	0.333333333333333
chr17	76354498	76355176	gc19_pc.cds::gencode::SOCS3::ENSG00000184557.3	0.333333333333333
chr17	40467762	40526081	gc19_pc.cds::gencode::STAT3::ENSG00000168610.10	0.333333333333333
chr14	64152822	64194662	gc19_pc.cds::gencode::SGPP1::ENSG00000126821.7	0.379310344827586
chr4	158142194	158284196	gc19_pc.cds::gencode::GRIA2::ENSG00000120251.14	0.4
chr2	163228338	163695028	gc19_pc.cds::gencode::KCNH7::ENSG00000184611.7	0.4
chr2	68358369	68384575	gc19_pc.cds::gencode::WDR92::ENSG00000243667.2	0.416666666666667
chr3	48445892	48466020	gc19_pc.cds::gencode::PLXNB1::ENSG00000164050.8	0.421052631578947
chr19	5587253	5622726	gc19_pc.cds::gencode::SAFB2::ENSG00000130254.7	0.421052631578947
chr12	44189387	44200150	gc19_pc.cds::gencode::TWF1::ENSG00000151239.9	0.4375
chr22	23523147	23657709	gc19_pc.cds::gencode::BCR::ENSG00000186716.15	0.444444444444444
chr11	67374475	67379929	gc19_pc.cds::gencode::NDUFV1::ENSG00000167792.7	0.444444444444444
chr16	14738203	14762944	gc19_pc.cds::gencode::BFAR::ENSG00000103429.6	0.448818897637795
chr10	95372482	95425175	gc19_pc.cds::gencode::PDE6C::ENSG00000095464.9	0.466666666666667
chr1	94458792	94586601	gc19_pc.cds::gencode::ABCA4::ENSG00000198691.7	0.5
chr10	45869727	45941135	gc19_pc.cds::gencode::ALOX5::ENSG00000012779.6	0.5
chr4	111397570	111482714	gc19_pc.cds::gencode::ENPEP::ENSG00000138792.5	0.5
chr6	97051489	97063648	gc19_pc.cds::gencode::FHL5::ENSG00000112214.6	0.5
chr3	128998575	129023668	gc19_pc.cds::gencode::HMCES::ENSG00000183624.9	0.5
chr8	144649408	144654884	gc19_pc.cds::gencode::MROH6::ENSG00000204839.4	0.5
chr11	112832157	113146109	gc19_pc.cds::gencode::NCAM1::ENSG00000149294.12	0.5
chr10	123718850	123734680	gc19_pc.cds::gencode::NSMCE4A::ENSG00000107672.10	0.5
chr5	179528500	179565052	gc19_pc.cds::gencode::RASGEF1C::ENSG00000146090.11	0.5
chr1	75669411	76007132	gc19_pc.cds::gencode::SLC44A5::ENSG00000137968.12	0.5
chr12	83081365	83526168	gc19_pc.cds::gencode::TMTC2::ENSG00000179104.4	0.5
chr19	58858387	58864803	gc19_pc.cds::gencode::A1BG::ENSG00000121410.7	0.526315789473684
chr6	24806600	25042154	gc19_pc.cds::gencode::FAM65B::ENSG00000111913.11	0.526315789473684
chr1	2488103	2494712	gc19_pc.cds::gencode::TNFRSF14::ENSG00000157873.13	0.526315789473684
chr16	70841482	71264590	gc19_pc.cds::gencode::HYDIN::ENSG00000157423.13	0.541666666666667
