chr	start	end	element_ID	p-value
chr2	65540634	65659121	gc19_pc.cds::gencode::SPRED2::ENSG00000198369.5	0.00806451612903226
chr17	38249335	38256347	gc19_pc.cds::gencode::NR1D1::ENSG00000126368.5	0.0168067226890756
chr2	25457147	25536853	gc19_pc.cds::gencode::DNMT3A::ENSG00000119772.12	0.023129768702313
chr6	146350653	146755932	gc19_pc.cds::gencode::GRM1::ENSG00000152822.9	0.0454545454545455
chr12	7342529	7362819	gc19_pc.cds::gencode::PEX5::ENSG00000139197.6	0.0467289719626168
chr3	48675637	48700067	gc19_pc.cds::gencode::CELSR3::ENSG00000008300.10	0.0504201680672269
chr20	32399274	32441366	gc19_pc.cds::gencode::CHMP4B::ENSG00000101421.3	0.0504201680672269
chr15	89790878	89859690	gc19_pc.cds::gencode::FANCI::ENSG00000140525.13	0.0504201680672269
chr1	154197599	154243395	gc19_pc.cds::gencode::UBAP2L::ENSG00000143569.14	0.0504201680672269
chr15	57212111	57574785	gc19_pc.cds::gencode::TCF12::ENSG00000140262.13	0.0576923076923077
chr18	724423	775196	gc19_pc.cds::gencode::YES1::ENSG00000176105.9	0.0612244897959184
chr5	156607988	156679688	gc19_pc.cds::gencode::ITK::ENSG00000113263.8	0.0638297872340425
chr3	23987069	24018910	gc19_pc.cds::gencode::NR1D2::ENSG00000174738.8	0.0735294117647059
chr1	120457928	120612020	gc19_pc.cds::gencode::NOTCH2::ENSG00000134250.13	0.0779220779220779
chr2	114647856	114715032	gc19_pc.cds::gencode::ACTR3::ENSG00000115091.7	0.0789473684210526
chr4	106111626	106197676	gc19_pc.cds::gencode::TET2::ENSG00000168769.8	0.138695785912027
chr9	105757662	105767960	gc19_pc.cds::gencode::CYLC2::ENSG00000155833.10	0.166666666666667
chr2	31558823	31637532	gc19_pc.cds::gencode::XDH::ENSG00000158125.5	0.196428571428571
chr17	55055520	55083596	gc19_pc.cds::gencode::SCPEP1::ENSG00000121064.8	0.198412698412698
chr5	80546951	80562077	gc19_pc.cds::gencode::CKMT2::ENSG00000131730.11	0.207547169811321
chr10	5932308	5979243	gc19_pc.cds::gencode::FBXO18::ENSG00000134452.15	0.2109375
chr10	33469003	33623310	gc19_pc.cds::gencode::NRP1::ENSG00000099250.13	0.211538461538462
chr3	44903416	44906672	gc19_pc.cds::gencode::TMEM42::ENSG00000169964.5	0.211538461538462
