chr	start	end	element_ID	pvalue
chr2	216226277	216300525	gc19_pc.cds::gencode::FN1::ENSG00000115414.14	0.00917431192660551
chr4	153244032	153332955	gc19_pc.cds::gencode::FBXW7::ENSG00000109670.9	0.03703704
chr12	48367189	48398104	gc19_pc.cds::gencode::COL2A1::ENSG00000139219.13	0.0689655172413793
chr12	25362728	25398318	gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	0.0769230769230769
chr3	105377813	105588232	gc19_pc.cds::gencode::CBLB::ENSG00000114423.14	0.0833333333333333
chr1	27022894	27107247	gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13	0.125
chr12	72666558	73056975	gc19_pc.cds::gencode::TRHDE::ENSG00000072657.4	0.2
chr1	87170582	87208918	gc19_pc.cds::gencode::SH3GLB1::ENSG00000097033.10	0.208333333333333
chr19	8645776	8670595	gc19_pc.cds::gencode::ADAMTS10::ENSG00000142303.9	0.214285714285714
chr1	11850736	11863571	gc19_pc.cds::gencode::MTHFR::ENSG00000177000.6	0.230769230769231
chr7	148504737	148544390	gc19_pc.cds::gencode::EZH2::ENSG00000106462.6	0.24
chr13	70275833	70681831	gc19_pc.cds::gencode::KLHL1::ENSG00000150361.7	0.25
chr11	62760708	62782430	gc19_pc.cds::gencode::SLC22A8::ENSG00000149452.11	0.25
chr17	10395732	10419959	gc19_pc.cds::gencode::MYH1::ENSG00000109061.9	0.285714285714286
chr7	94024343	94059705	gc19_pc.cds::gencode::COL1A2::ENSG00000164692.13	0.333333333333333
chr2	61705954	61761032	gc19_pc.cds::gencode::XPO1::ENSG00000082898.12	0.333333333333333
chr18	48573416	48604837	gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	0.357142857142857
chr4	121616265	121843763	gc19_pc.cds::gencode::PRDM5::ENSG00000138738.6	0.4
chr3	141884463	141944297	gc19_pc.cds::gencode::GK5::ENSG00000175066.11	0.413793103448276
chr22	35695921	35743202	gc19_pc.cds::gencode::TOM1::ENSG00000100284.16	0.416666666666667
chr7	63505999	63538927	gc19_pc.cds::gencode::ZNF727::ENSG00000257482.3	0.428571428571429
chr10	135192820	135205042	gc19_pc.cds::gencode::PAOX::ENSG00000148832.10	0.44
chr17	6358657	6459726	gc19_pc.cds::gencode::PITPNM3::ENSG00000091622.11	0.44
chr11	14300882	14385939	gc19_pc.cds::gencode::RRAS2::ENSG00000133818.8	0.458333333333333
chr19	9964861	10047042	gc19_pc.cds::gencode::OLFM2::ENSG00000105088.4	0.461538461538462
chr22	30185001	30228314	gc19_pc.cds::gencode::ASCC2::ENSG00000100325.10	0.5
chr12	53400267	53434007	gc19_pc.cds::gencode::EIF4B::ENSG00000063046.13	0.5
chr3	96533467	97467545	gc19_pc.cds::gencode::EPHA6::ENSG00000080224.13	0.5
chr9	676972	745235	gc19_pc.cds::gencode::KANK1::ENSG00000107104.14	0.5
